date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-07,22,34,27,21,0,0
2019-07-14,40,76,57,22,0,0
2019-07-21,23,53,0,55,0,0
2019-07-28,72,65,28,43,51,0
2019-08-04,40,64,28,22,51,0
2019-08-11,35,35,56,54,50,0
2019-08-18,30,56,0,21,0,0
2019-08-25,34,50,27,21,0,0
2019-09-01,43,56,0,21,0,0
2019-09-08,34,56,27,21,0,0
2019-09-15,68,67,0,42,0,0
2019-09-22,58,99,28,36,52,0
2019-09-29,39,63,28,49,0,0
2019-10-06,58,76,0,22,51,0
2019-10-13,55,78,29,22,52,0
2019-10-20,100,54,0,29,52,0
2019-10-27,27,100,0,65,52,0
2019-11-03,50,61,23,0,41,0
2019-11-10,43,62,25,25,45,0
2019-11-17,41,54,0,33,0,0
2019-11-24,75,49,0,23,0,0
2019-12-01,49,59,0,44,0,0
2019-12-08,32,61,58,23,0,0
2019-12-15,57,93,0,92,0,0
2019-12-22,31,54,0,33,0,0
2019-12-29,53,51,0,23,0,0
2020-01-05,55,66,29,45,0,0
2020-01-12,44,81,28,0,0,0
2020-01-19,50,71,29,22,0,0
2020-01-26,35,74,73,63,50,0
2020-02-02,58,69,0,21,0,0
2020-02-09,72,65,29,33,0,0
2020-02-16,61,74,56,21,100,1
2020-02-23,56,34,27,21,0,3
2020-03-01,60,45,0,21,100,8
2020-03-08,56,62,27,21,50,28
2020-03-15,45,64,51,20,46,77
2020-03-22,61,79,0,18,87,100
2020-03-29,47,52,23,35,0,95
2020-04-05,77,53,23,0,63,79
2020-04-12,43,38,23,26,41,60
2020-04-19,39,84,0,17,0,55
2020-04-26,81,53,23,18,42,50
2020-05-03,19,39,23,18,0,43
2020-05-10,43,36,0,0,45,40
2020-05-17,40,36,0,26,45,40
2020-05-24,53,75,26,20,47,40
2020-05-31,44,85,38,20,0,43
2020-06-07,33,44,52,40,0,44
2020-06-14,38,66,0,60,48,46
2020-06-21,34,61,80,41,49,53
2020-06-28,40,70,28,29,0,55
2020-07-05,41,81,100,100,0,56
