date,depression,anxiety,panic attack,insomnia,loneliness,coronavirus
2019-07-14,77,80,43,45,56,0
2019-07-21,76,84,44,53,28,0
2019-07-28,72,86,61,38,0,0
2019-08-04,68,82,55,79,42,0
2019-08-11,80,81,42,72,27,0
2019-08-18,57,96,41,80,0,0
2019-08-25,66,100,45,54,51,0
2019-09-01,64,83,43,69,99,0
2019-09-08,73,94,58,75,0,0
2019-09-15,73,78,53,79,24,0
2019-09-22,90,87,54,40,75,0
2019-09-29,89,79,48,59,25,0
2019-10-06,68,92,60,65,25,0
2019-10-13,76,83,74,50,0,0
2019-10-20,90,74,29,52,25,0
2019-10-27,66,87,44,74,38,0
2019-11-03,100,84,33,53,24,0
2019-11-10,70,86,95,58,48,0
2019-11-17,90,74,43,78,24,0
2019-11-24,59,59,45,48,39,0
2019-12-01,87,85,23,35,48,0
2019-12-08,100,77,38,61,72,0
2019-12-15,62,69,44,30,25,0
2019-12-22,69,65,40,58,27,0
2019-12-29,55,60,44,71,76,0
2020-01-05,80,86,21,85,71,0
2020-01-12,79,78,39,92,33,0
2020-01-19,76,78,56,76,24,3
2020-01-26,80,74,67,85,100,8
2020-02-02,76,91,38,66,18,5
2020-02-09,99,75,56,93,45,4
2020-02-16,73,89,48,63,20,3
2020-02-23,89,68,61,68,77,13
2020-03-01,86,100,60,58,44,20
2020-03-08,81,85,44,77,45,65
2020-03-15,79,73,71,76,46,100
2020-03-22,88,80,52,71,44,78
2020-03-29,56,71,68,52,87,64
2020-04-05,98,72,58,57,21,59
2020-04-12,86,66,68,57,82,43
2020-04-19,86,80,36,46,20,32
2020-04-26,76,87,45,66,52,18
2020-05-03,74,77,85,86,42,15
2020-05-10,57,71,46,49,21,14
2020-05-17,61,75,46,77,64,12
2020-05-24,57,74,43,53,33,10
2020-05-31,74,82,38,40,43,7
2020-06-07,72,77,38,48,64,7
2020-06-14,68,89,100,62,55,8
2020-06-21,70,81,43,65,33,9
2020-06-28,73,86,72,74,23,10
2020-07-05,75,94,97,100,0,9
