date,depression,anxiety,panic attack,insomnia,loneliness,coronavirus
2019-07-14,64,59,49,75,40,0
2019-07-21,65,69,66,83,0,0
2019-07-28,51,61,100,59,41,0
2019-08-04,51,74,48,43,40,0
2019-08-11,51,100,42,96,39,0
2019-08-18,66,74,59,42,0,0
2019-08-25,63,76,87,51,0,0
2019-09-01,68,70,29,61,71,0
2019-09-08,74,60,83,64,34,0
2019-09-15,87,69,56,64,51,0
2019-09-22,64,62,56,30,35,0
2019-09-29,79,71,56,53,69,0
2019-10-06,78,66,98,70,35,0
2019-10-13,75,69,72,51,88,0
2019-10-20,72,75,42,65,0,0
2019-10-27,58,78,37,59,35,0
2019-11-03,87,70,37,49,34,0
2019-11-10,76,70,54,48,66,0
2019-11-17,77,71,36,29,84,0
2019-11-24,56,78,44,36,36,0
2019-12-01,93,73,63,43,33,0
2019-12-08,73,70,45,44,100,0
2019-12-15,78,68,70,60,0,0
2019-12-22,70,55,32,34,39,0
2019-12-29,58,66,58,87,71,0
2020-01-05,77,67,62,38,33,0
2020-01-12,88,74,51,76,31,0
2020-01-19,79,66,66,70,0,4
2020-01-26,100,77,60,50,95,13
2020-02-02,76,74,51,54,31,6
2020-02-09,73,72,35,51,0,5
2020-02-16,92,86,51,40,31,3
2020-02-23,74,74,67,71,62,12
2020-03-01,88,64,83,44,46,19
2020-03-08,83,70,57,35,30,73
2020-03-15,100,55,72,34,60,100
2020-03-22,69,69,58,44,30,79
2020-03-29,83,66,63,50,43,60
2020-04-05,76,54,71,38,29,60
2020-04-12,72,56,80,41,28,45
2020-04-19,88,56,46,53,29,34
2020-04-26,67,68,70,67,0,19
2020-05-03,88,63,86,100,58,16
2020-05-10,64,65,95,63,29,15
2020-05-17,51,51,81,47,29,12
2020-05-24,58,65,63,58,61,12
2020-05-31,51,63,37,61,30,9
2020-06-07,60,67,49,46,30,10
2020-06-14,56,73,51,67,62,10
2020-06-21,49,76,77,51,32,11
2020-06-28,51,64,79,56,32,11
2020-07-05,76,66,73,72,0,11
