date,depression,anxiety,panic attack,insomnia,loneliness,coronavirus
2019-07-14,71,87,39,70,19,0
2019-07-21,78,91,43,81,32,0
2019-07-28,66,87,43,42,57,0
2019-08-04,62,91,54,78,31,0
2019-08-11,69,97,52,58,18,0
2019-08-18,77,88,72,78,44,0
2019-08-25,64,93,62,73,23,0
2019-09-01,74,84,76,99,39,0
2019-09-08,74,94,67,66,27,0
2019-09-15,75,91,49,84,22,0
2019-09-22,78,93,53,81,28,0
2019-09-29,69,81,73,76,62,0
2019-10-06,72,84,64,56,53,0
2019-10-13,86,85,73,62,45,0
2019-10-20,77,84,27,85,22,0
2019-10-27,81,85,42,56,51,0
2019-11-03,93,99,48,63,43,0
2019-11-10,76,90,81,71,16,0
2019-11-17,78,81,59,61,32,0
2019-11-24,65,75,67,47,33,0
2019-12-01,84,89,77,66,27,0
2019-12-08,77,85,56,57,25,0
2019-12-15,70,73,35,58,42,0
2019-12-22,56,65,49,46,42,0
2019-12-29,62,74,70,51,57,0
2020-01-05,68,82,51,58,37,0
2020-01-12,71,86,49,63,15,0
2020-01-19,87,87,43,100,31,4
2020-01-26,84,87,63,69,36,19
2020-02-02,86,85,63,67,46,7
2020-02-09,100,83,88,62,26,5
2020-02-16,91,89,65,57,15,4
2020-02-23,84,85,71,66,40,13
2020-03-01,94,94,47,74,44,23
2020-03-08,83,80,67,51,44,60
2020-03-15,88,72,66,62,48,100
2020-03-22,81,82,97,79,47,80
2020-03-29,98,80,68,81,32,65
2020-04-05,94,78,57,59,83,62
2020-04-12,95,72,63,75,69,50
2020-04-19,85,86,53,95,100,39
2020-04-26,87,82,80,61,64,24
2020-05-03,82,89,53,62,28,20
2020-05-10,77,84,42,80,33,19
2020-05-17,77,81,71,44,57,15
2020-05-24,61,80,53,96,63,13
2020-05-31,54,71,50,70,28,11
2020-06-07,69,85,52,70,52,13
2020-06-14,63,92,81,91,29,16
2020-06-21,65,100,43,46,20,17
2020-06-28,64,96,89,76,30,19
2020-07-05,63,77,100,79,57,16
