date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,72,79,63,57,63,0
2019-06-09,65,82,79,73,48,0
2019-06-16,78,82,66,63,36,0
2019-06-23,68,89,71,49,36,0
2019-06-30,63,83,50,49,48,0
2019-07-07,73,87,84,77,52,0
2019-07-14,71,93,99,72,62,0
2019-07-21,69,91,75,81,49,0
2019-07-28,72,88,84,60,45,0
2019-08-04,70,98,69,71,45,0
2019-08-11,69,91,49,68,46,0
2019-08-18,60,89,64,66,43,0
2019-08-25,61,93,71,47,56,0
2019-09-01,73,94,76,68,48,0
2019-09-08,70,89,83,64,54,0
2019-09-15,84,100,61,59,62,0
2019-09-22,78,88,59,76,39,0
2019-09-29,76,90,88,64,57,0
2019-10-06,82,88,64,78,52,0
2019-10-13,91,92,66,68,53,0
2019-10-20,82,91,78,72,66,0
2019-10-27,71,83,78,70,61,0
2019-11-03,78,91,75,56,52,0
2019-11-10,88,88,76,71,73,0
2019-11-17,88,90,86,51,94,0
2019-11-24,62,73,80,51,49,0
2019-12-01,85,84,64,68,49,0
2019-12-08,91,87,65,64,64,0
2019-12-15,73,77,81,60,68,0
2019-12-22,55,74,54,65,33,0
2019-12-29,60,81,76,67,51,0
2020-01-05,78,85,59,84,57,0
2020-01-12,83,87,67,65,54,0
2020-01-19,76,90,61,66,46,0
2020-01-26,87,84,60,82,48,0
2020-02-02,88,88,75,71,72,0
2020-02-09,96,90,69,53,68,0
2020-02-16,84,97,88,72,56,1
2020-02-23,94,90,66,79,75,4
2020-03-01,90,85,75,62,86,8
2020-03-08,95,84,77,63,100,33
2020-03-15,99,82,76,57,80,84
2020-03-22,100,97,86,55,70,94
2020-03-29,93,93,58,87,84,100
2020-04-05,94,94,91,100,95,90
2020-04-12,91,88,100,93,82,73
2020-04-19,88,84,85,78,79,67
2020-04-26,89,91,80,86,82,64
2020-05-03,87,89,79,76,61,60
2020-05-10,95,94,70,87,83,60
2020-05-17,86,96,86,78,49,59
2020-05-24,82,85,75,78,75,54
2020-05-31,64,85,52,73,56,42
