date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,54,89,62,37,23,0
2019-06-09,67,83,0,68,35,0
2019-06-16,53,71,51,57,70,0
2019-06-23,57,67,20,100,35,0
2019-06-30,59,77,42,79,49,0
2019-07-07,67,92,71,45,0,0
2019-07-14,59,76,71,65,46,0
2019-07-21,66,87,83,43,0,0
2019-07-28,63,84,72,54,35,0
2019-08-04,63,86,40,45,23,0
2019-08-11,65,78,20,78,45,0
2019-08-18,63,88,68,59,33,0
2019-08-25,70,79,47,47,0,0
2019-09-01,63,83,56,72,63,0
2019-09-08,88,74,27,43,63,0
2019-09-15,70,100,65,49,63,0
2019-09-22,75,83,47,54,32,0
2019-09-29,78,99,66,62,43,0
2019-10-06,75,82,46,75,53,0
2019-10-13,78,83,28,60,97,0
2019-10-20,93,86,28,74,42,0
2019-10-27,77,75,9,75,52,0
2019-11-03,82,92,28,46,42,0
2019-11-10,89,81,100,38,52,0
2019-11-17,88,90,37,51,21,0
2019-11-24,59,72,29,49,67,0
2019-12-01,70,95,37,61,42,0
2019-12-08,75,78,37,67,95,0
2019-12-15,75,81,38,54,74,0
2019-12-22,53,83,32,44,36,0
2019-12-29,67,71,58,56,44,0
2020-01-05,75,70,55,66,21,0
2020-01-12,71,87,80,64,50,0
2020-01-19,85,82,28,74,63,0
2020-01-26,80,89,36,60,31,0
2020-02-02,81,78,52,70,30,0
2020-02-09,89,83,54,65,92,0
2020-02-16,82,86,71,76,30,1
2020-02-23,94,91,43,55,39,2
2020-03-01,76,76,17,67,69,8
2020-03-08,87,86,25,68,95,42
2020-03-15,100,65,50,53,19,94
2020-03-22,84,70,33,73,57,100
2020-03-29,81,81,64,66,100,98
2020-04-05,92,83,73,65,65,89
2020-04-12,92,76,46,56,79,68
2020-04-19,79,77,94,74,80,66
2020-04-26,80,84,32,46,54,63
2020-05-03,88,81,16,70,72,59
2020-05-10,85,73,41,74,65,56
2020-05-17,67,86,67,81,76,53
2020-05-24,74,68,60,88,49,47
2020-05-31,54,81,16,50,56,40
