date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,78,75,46,40,40,0
2019-06-09,76,82,16,73,28,0
2019-06-16,59,85,63,81,0,0
2019-06-23,60,65,66,67,29,0
2019-06-30,63,85,50,72,0,0
2019-07-07,64,83,64,85,84,0
2019-07-14,58,82,49,55,57,0
2019-07-21,64,100,33,56,58,0
2019-07-28,54,72,17,100,58,0
2019-08-04,73,91,33,97,59,0
2019-08-11,57,83,66,76,29,0
2019-08-18,46,91,16,77,42,0
2019-08-25,65,89,31,75,27,0
2019-09-01,46,85,59,86,39,0
2019-09-08,67,98,0,49,38,0
2019-09-15,68,76,0,53,79,0
2019-09-22,70,94,30,84,64,0
2019-09-29,78,96,29,42,51,0
2019-10-06,64,90,43,53,77,0
2019-10-13,65,76,60,61,26,0
2019-10-20,76,97,29,66,25,0
2019-10-27,76,94,100,83,50,0
2019-11-03,80,76,57,48,38,0
2019-11-10,81,75,57,89,50,0
2019-11-17,70,92,14,58,100,0
2019-11-24,80,74,30,54,26,0
2019-12-01,65,79,83,50,24,0
2019-12-08,73,73,42,47,61,0
2019-12-15,66,71,43,51,0,0
2019-12-22,52,62,16,49,28,0
2019-12-29,46,81,74,60,65,0
2020-01-05,63,74,0,57,61,0
2020-01-12,72,96,40,91,0,0
2020-01-19,71,81,83,71,24,0
2020-01-26,71,90,66,79,69,0
2020-02-02,79,99,79,54,46,0
2020-02-09,86,93,41,76,60,0
2020-02-16,93,91,14,65,36,0
2020-02-23,89,96,65,81,57,2
2020-03-01,100,86,52,72,57,7
2020-03-08,76,83,91,88,23,37
2020-03-15,79,64,25,75,87,81
2020-03-22,87,86,94,59,62,88
2020-03-29,96,98,69,69,60,100
2020-04-05,93,90,46,56,51,86
2020-04-12,80,82,23,56,71,77
2020-04-19,82,68,56,73,29,72
2020-04-26,79,86,33,98,48,65
2020-05-03,89,75,57,97,39,62
2020-05-10,73,64,70,98,31,60
2020-05-17,60,78,34,58,40,56
2020-05-24,71,84,47,80,62,50
2020-05-31,61,94,46,66,40,44
