date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,53,63,0,59,0,0
2019-06-09,38,63,38,48,0,0
2019-06-16,34,38,38,36,0,0
2019-06-23,26,57,75,47,0,0
2019-06-30,62,49,0,34,0,0
2019-07-07,36,49,0,34,0,0
2019-07-14,40,36,0,57,66,0
2019-07-21,37,56,0,23,0,0
2019-07-28,30,31,37,46,67,0
2019-08-04,47,36,37,80,0,0
2019-08-11,43,48,72,79,66,0
2019-08-18,32,43,55,46,66,0
2019-08-25,63,36,71,67,64,0
2019-09-01,69,45,0,73,0,0
2019-09-08,47,56,33,84,0,0
2019-09-15,51,34,34,21,62,0
2019-09-22,45,82,34,76,0,0
2019-09-29,82,52,34,75,62,0
2019-10-06,28,35,35,44,0,0
2019-10-13,71,29,51,43,0,0
2019-10-20,81,57,51,85,62,0
2019-10-27,82,46,34,43,62,0
2019-11-03,34,67,34,53,0,0
2019-11-10,74,22,50,21,0,0
2019-11-17,47,78,33,0,61,0
2019-11-24,45,70,35,55,0,0
2019-12-01,100,65,49,51,59,0
2019-12-08,60,78,100,84,61,0
2019-12-15,44,34,34,21,0,0
2019-12-22,15,87,75,35,68,0
2019-12-29,37,23,0,64,62,0
2020-01-05,69,60,33,21,0,0
2020-01-12,48,53,32,100,59,0
2020-01-19,64,51,34,63,0,0
2020-01-26,59,60,33,51,59,0
2020-02-02,71,43,32,20,0,0
2020-02-09,71,38,81,41,59,1
2020-02-16,75,91,47,79,0,1
2020-02-23,71,31,31,59,0,1
2020-03-01,62,47,31,78,0,4
2020-03-08,40,36,31,29,56,29
2020-03-15,93,65,60,38,0,78
2020-03-22,81,28,84,70,0,95
2020-03-29,51,100,27,26,0,100
2020-04-05,46,55,41,43,100,86
2020-04-12,64,67,54,51,0,71
2020-04-19,71,67,0,58,48,72
2020-04-26,72,85,40,42,0,67
2020-05-03,66,49,79,83,48,63
2020-05-10,74,42,28,26,50,59
2020-05-17,78,63,27,42,0,53
2020-05-24,42,61,0,53,0,50
2020-05-31,51,36,27,25,99,36
