date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,65,86,81,50,56,0
2019-06-09,65,94,84,55,61,0
2019-06-16,68,91,64,74,90,0
2019-06-23,68,94,69,71,67,0
2019-06-30,62,88,52,51,62,0
2019-07-07,86,93,69,60,60,0
2019-07-14,72,90,64,44,54,0
2019-07-21,91,100,45,59,44,0
2019-07-28,82,96,95,66,44,0
2019-08-04,70,97,77,48,71,0
2019-08-11,65,96,61,67,32,0
2019-08-18,78,90,61,59,59,0
2019-08-25,71,83,75,67,70,0
2019-09-01,67,77,72,55,59,0
2019-09-08,100,92,87,86,40,0
2019-09-15,88,98,54,60,46,0
2019-09-22,76,89,79,69,36,0
2019-09-29,71,98,79,53,61,0
2019-10-06,86,87,55,74,51,0
2019-10-13,83,86,69,74,80,0
2019-10-20,80,91,92,61,45,0
2019-10-27,74,91,87,47,45,0
2019-11-03,72,93,79,50,73,0
2019-11-10,73,87,74,66,88,0
2019-11-17,72,99,48,50,45,0
2019-11-24,58,86,63,58,46,0
2019-12-01,72,84,80,51,49,0
2019-12-08,79,90,85,52,44,0
2019-12-15,64,80,60,66,49,0
2019-12-22,56,73,66,49,41,0
2019-12-29,55,76,77,39,82,0
2020-01-05,79,84,77,66,56,0
2020-01-12,70,98,78,54,49,0
2020-01-19,70,90,76,53,42,0
2020-01-26,72,83,61,44,50,0
2020-02-02,78,83,68,49,77,0
2020-02-09,85,89,65,62,76,0
2020-02-16,74,98,71,76,57,0
2020-02-23,69,83,76,58,77,2
2020-03-01,85,91,57,57,43,6
2020-03-08,80,82,58,53,43,26
2020-03-15,88,83,88,61,56,75
2020-03-22,87,84,63,51,78,97
2020-03-29,90,92,100,59,83,100
2020-04-05,95,92,80,68,79,90
2020-04-12,92,96,89,60,89,72
2020-04-19,86,91,79,61,73,63
2020-04-26,91,91,60,100,33,58
2020-05-03,82,88,92,68,54,53
2020-05-10,90,90,66,60,100,55
2020-05-17,73,90,80,55,92,51
2020-05-24,69,87,66,65,47,44
2020-05-31,70,89,52,64,50,38
