date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,68,74,23,83,22,0
2019-07-21,63,86,42,82,71,0
2019-07-28,64,77,73,79,14,0
2019-08-04,63,87,57,77,34,0
2019-08-11,69,75,79,70,39,0
2019-08-18,68,69,81,68,58,0
2019-08-25,75,81,30,93,13,0
2019-09-01,67,72,56,66,38,0
2019-09-08,76,85,80,69,38,0
2019-09-15,81,78,63,83,50,0
2019-09-22,81,86,46,69,63,0
2019-09-29,81,79,52,84,25,0
2019-10-06,90,82,45,86,20,0
2019-10-13,97,90,75,57,26,0
2019-10-20,89,74,77,56,40,0
2019-10-27,92,70,34,64,20,0
2019-11-03,92,76,55,60,49,0
2019-11-10,96,80,69,68,62,0
2019-11-17,92,97,100,58,32,0
2019-11-24,66,71,41,45,57,0
2019-12-01,94,72,55,75,43,0
2019-12-08,88,77,46,58,47,0
2019-12-15,78,78,34,41,13,0
2019-12-22,55,71,62,57,44,0
2019-12-29,72,81,64,63,54,0
2020-01-05,78,84,53,77,26,0
2020-01-12,82,87,66,71,40,0
2020-01-19,87,81,58,65,70,0
2020-01-26,93,82,83,77,58,0
2020-02-02,91,75,86,86,48,0
2020-02-09,84,75,68,85,56,0
2020-02-16,100,75,48,73,67,0
2020-02-23,89,81,79,66,77,2
2020-03-01,89,73,49,69,72,6
2020-03-08,90,80,68,74,49,27
2020-03-15,99,70,53,63,85,71
2020-03-22,98,79,57,62,26,94
2020-03-29,88,83,74,68,100,100
2020-04-05,82,81,85,86,59,86
2020-04-12,86,68,40,81,62,64
2020-04-19,82,74,45,86,27,62
2020-04-26,94,78,55,82,27,57
2020-05-03,86,78,59,88,30,54
2020-05-10,80,67,61,88,69,53
2020-05-17,75,80,75,93,26,49
2020-05-24,66,74,69,92,27,44
2020-05-31,57,74,52,67,10,38
2020-06-07,70,82,66,80,37,39
2020-06-14,64,80,52,91,65,49
2020-06-21,71,80,83,81,43,73
2020-06-28,70,93,82,76,22,89
2020-07-05,72,100,73,100,61,93
