date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-07,47,44,52,60,0,0
2019-07-14,61,70,27,47,0,0
2019-07-21,70,59,27,21,0,0
2019-07-28,68,63,0,61,53,0
2019-08-04,92,88,52,20,0,0
2019-08-11,82,58,42,32,0,0
2019-08-18,67,100,25,38,50,0
2019-08-25,72,69,25,45,0,0
2019-09-01,72,66,25,32,0,0
2019-09-08,47,54,100,38,50,0
2019-09-15,87,83,62,44,0,0
2019-09-22,76,81,50,47,0,0
2019-09-29,64,75,37,29,50,0
2019-10-06,79,55,52,46,52,0
2019-10-13,76,74,37,44,74,0
2019-10-20,73,56,37,19,49,0
2019-10-27,89,79,25,32,51,0
2019-11-03,75,73,49,28,0,0
2019-11-10,80,77,33,18,48,0
2019-11-17,70,61,24,28,0,0
2019-11-24,80,76,37,44,0,0
2019-12-01,73,52,0,37,48,0
2019-12-08,88,60,25,38,100,0
2019-12-15,77,80,25,44,0,0
2019-12-22,41,64,25,38,0,0
2019-12-29,60,62,25,36,0,0
2020-01-05,64,67,46,65,69,0
2020-01-12,66,62,45,45,45,0
2020-01-19,100,72,0,35,0,0
2020-01-26,73,47,38,41,46,0
2020-02-02,58,51,35,36,47,0
2020-02-09,59,78,23,35,0,1
2020-02-16,83,64,56,28,45,2
2020-02-23,87,65,22,83,65,4
2020-03-01,86,84,29,27,43,8
2020-03-08,77,71,35,32,0,34
2020-03-15,92,55,42,16,0,84
2020-03-22,73,56,49,38,42,100
2020-03-29,99,72,28,74,82,94
2020-04-05,84,63,31,48,42,81
2020-04-12,72,57,0,42,41,68
2020-04-19,95,68,21,36,61,59
2020-04-26,78,79,20,36,41,52
2020-05-03,95,82,35,42,41,46
2020-05-10,78,54,21,43,0,47
2020-05-17,70,67,21,25,43,42
2020-05-24,85,76,0,29,46,36
2020-05-31,62,65,23,34,45,36
2020-06-07,74,68,0,64,45,39
2020-06-14,73,72,46,44,0,44
2020-06-21,70,66,47,100,0,48
2020-06-28,76,46,36,49,48,55
2020-07-05,100,77,0,0,0,58
