date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,48,77,100,46,0,0
2019-07-21,58,77,60,32,84,0
2019-07-28,38,51,39,63,0,0
2019-08-04,53,52,73,31,41,0
2019-08-11,60,76,85,45,40,0
2019-08-18,55,73,96,73,39,0
2019-08-25,53,67,34,71,36,0
2019-09-01,65,76,66,70,35,0
2019-09-08,63,72,47,58,100,0
2019-09-15,76,64,39,45,33,0
2019-09-22,90,57,61,69,32,0
2019-09-29,83,67,45,60,32,0
2019-10-06,94,75,46,82,82,0
2019-10-13,87,69,23,78,82,0
2019-10-20,91,86,54,65,49,0
2019-10-27,94,78,39,58,49,0
2019-11-03,99,73,57,41,0,0
2019-11-10,83,73,45,51,42,0
2019-11-17,87,76,55,59,31,0
2019-11-24,55,59,39,42,44,0
2019-12-01,99,77,95,70,46,0
2019-12-08,70,63,61,48,32,0
2019-12-15,87,73,78,100,82,0
2019-12-22,53,73,53,47,93,0
2019-12-29,71,65,36,38,51,0
2020-01-05,85,76,45,56,64,0
2020-01-12,65,75,36,75,46,0
2020-01-19,63,67,67,43,31,0
2020-01-26,79,74,74,86,41,0
2020-02-02,72,71,57,42,45,0
2020-02-09,89,72,58,74,51,0
2020-02-16,100,100,22,85,31,0
2020-02-23,97,69,75,79,70,2
2020-03-01,92,82,43,30,40,4
2020-03-08,83,75,92,26,30,23
2020-03-15,99,67,37,35,83,82
2020-03-22,67,77,40,54,38,100
2020-03-29,74,64,41,84,58,98
2020-04-05,68,67,63,67,60,84
2020-04-12,76,69,46,59,28,72
2020-04-19,80,59,71,45,55,66
2020-04-26,80,73,39,80,42,65
2020-05-03,67,62,58,38,46,59
2020-05-10,86,70,46,56,41,56
2020-05-17,63,68,100,53,37,51
2020-05-24,64,63,62,74,29,47
2020-05-31,51,51,55,33,29,36
2020-06-07,49,67,31,51,48,37
2020-06-14,66,71,85,45,60,41
2020-06-21,46,70,66,64,31,51
2020-06-28,56,62,60,56,53,61
2020-07-05,73,80,62,79,0,58
