date,depression,anxiety,panic attack,insomnia,loneliness,coronavirus
2019-07-14,57,80,42,70,51,0
2019-07-21,72,74,29,27,53,0
2019-07-28,63,71,42,100,0,0
2019-08-04,62,45,42,59,51,0
2019-08-11,51,62,42,33,0,0
2019-08-18,55,70,45,29,50,0
2019-08-25,62,73,40,47,0,0
2019-09-01,41,74,51,45,0,0
2019-09-08,57,67,34,47,0,0
2019-09-15,59,93,74,41,91,0
2019-09-22,78,77,42,78,47,0
2019-09-29,60,84,51,24,47,0
2019-10-06,94,67,51,37,48,0
2019-10-13,100,68,25,36,46,0
2019-10-20,76,100,51,48,46,0
2019-10-27,76,58,77,55,0,0
2019-11-03,70,97,50,54,61,0
2019-11-10,75,67,100,35,69,0
2019-11-17,76,83,25,18,93,0
2019-11-24,58,67,65,19,48,0
2019-12-01,56,64,74,35,0,0
2019-12-08,78,68,25,18,46,0
2019-12-15,73,64,25,27,46,0
2019-12-22,67,57,28,39,0,0
2019-12-29,49,46,26,18,47,0
2020-01-05,60,70,49,41,45,0
2020-01-12,62,78,23,33,0,0
2020-01-19,58,46,37,35,45,4
2020-01-26,79,78,48,45,44,11
2020-02-02,66,77,48,34,44,7
2020-02-09,70,85,36,34,0,6
2020-02-16,76,79,24,42,44,5
2020-02-23,74,49,23,49,0,14
2020-03-01,96,79,38,27,70,27
2020-03-08,92,75,29,36,54,69
2020-03-15,70,62,22,46,39,100
2020-03-22,68,64,63,35,38,85
2020-03-29,81,67,59,51,36,65
2020-04-05,64,45,34,38,50,60
2020-04-12,78,73,20,56,36,46
2020-04-19,74,84,40,47,37,35
2020-04-26,75,83,27,0,37,22
2020-05-03,78,77,27,29,50,17
2020-05-10,71,62,42,37,57,17
2020-05-17,69,74,28,24,38,13
2020-05-24,51,64,68,37,0,12
2020-05-31,45,57,43,30,78,9
2020-06-07,67,65,36,41,39,10
2020-06-14,53,47,37,31,54,11
2020-06-21,63,57,23,24,70,16
2020-06-28,61,55,46,22,84,17
2020-07-05,56,91,55,60,100,15
