date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-07,60,86,69,66,62,0
2019-07-14,59,73,83,71,48,0
2019-07-21,60,85,60,77,59,0
2019-07-28,65,82,71,84,44,0
2019-08-04,64,86,50,97,36,0
2019-08-11,70,91,76,79,60,0
2019-08-18,73,91,48,83,41,0
2019-08-25,70,92,63,62,40,0
2019-09-01,72,88,74,71,31,0
2019-09-08,83,94,81,76,38,0
2019-09-15,71,88,76,80,67,0
2019-09-22,79,89,83,66,73,0
2019-09-29,79,85,68,84,47,0
2019-10-06,89,93,76,85,89,0
2019-10-13,80,91,60,65,66,0
2019-10-20,92,91,62,73,49,0
2019-10-27,81,81,48,77,56,0
2019-11-03,91,91,52,82,65,0
2019-11-10,81,83,72,65,68,0
2019-11-17,83,100,83,80,96,0
2019-11-24,67,83,53,51,65,0
2019-12-01,90,95,55,83,63,0
2019-12-08,100,87,72,82,66,0
2019-12-15,76,77,69,60,35,0
2019-12-22,65,69,66,59,46,0
2019-12-29,67,89,71,87,51,0
2020-01-05,79,93,59,78,33,0
2020-01-12,89,95,63,72,42,0
2020-01-19,90,97,76,91,57,0
2020-01-26,93,88,97,83,57,0
2020-02-02,92,84,80,83,66,0
2020-02-09,90,88,54,90,66,0
2020-02-16,91,98,87,78,37,0
2020-02-23,94,90,82,78,84,2
2020-03-01,92,93,76,66,96,5
2020-03-08,98,84,71,66,74,31
2020-03-15,99,86,96,62,80,84
2020-03-22,88,89,89,74,73,93
2020-03-29,100,95,77,70,64,100
2020-04-05,90,92,72,84,100,88
2020-04-12,96,81,91,100,80,71
2020-04-19,96,84,79,95,87,70
2020-04-26,93,99,92,91,89,63
2020-05-03,94,90,71,93,82,62
2020-05-10,89,86,100,92,84,62
2020-05-17,75,91,75,89,92,55
2020-05-24,72,90,90,77,65,49
2020-05-31,58,75,57,63,47,37
2020-06-07,66,80,85,72,80,41
2020-06-14,67,80,86,72,78,46
2020-06-21,66,92,52,74,78,56
2020-06-28,63,87,85,82,85,64
2020-07-05,68,94,82,79,60,71
