date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,66,85,45,51,22,0
2019-06-09,62,72,34,73,0,0
2019-06-16,66,72,34,64,22,0
2019-06-23,69,82,34,71,33,0
2019-06-30,73,82,71,63,92,0
2019-07-07,62,85,23,87,0,0
2019-07-14,58,91,56,57,0,0
2019-07-21,58,88,70,56,23,0
2019-07-28,62,79,23,71,45,0
2019-08-04,67,87,33,36,44,0
2019-08-11,64,74,20,61,19,0
2019-08-18,73,100,19,94,18,0
2019-08-25,57,74,59,82,29,0
2019-09-01,78,82,68,72,38,0
2019-09-08,84,73,87,83,57,0
2019-09-15,65,87,69,91,19,0
2019-09-22,68,72,29,76,58,0
2019-09-29,88,86,69,65,39,0
2019-10-06,90,74,20,70,20,0
2019-10-13,88,80,10,71,61,0
2019-10-20,80,79,40,84,20,0
2019-10-27,79,92,29,66,38,0
2019-11-03,89,63,29,60,56,0
2019-11-10,91,76,76,54,46,0
2019-11-17,95,86,54,86,18,0
2019-11-24,80,56,39,52,38,0
2019-12-01,86,82,37,81,37,0
2019-12-08,95,73,38,68,56,0
2019-12-15,72,82,30,58,19,0
2019-12-22,61,46,33,43,43,0
2019-12-29,66,75,31,95,40,0
2020-01-05,72,73,37,87,28,0
2020-01-12,90,78,78,52,94,0
2020-01-19,88,65,100,100,36,0
2020-01-26,97,85,36,75,44,0
2020-02-02,94,81,35,73,60,0
2020-02-09,92,80,53,79,34,0
2020-02-16,88,83,62,87,17,0
2020-02-23,99,85,34,66,59,1
2020-03-01,100,82,61,80,94,5
2020-03-08,89,63,52,52,43,31
2020-03-15,92,71,17,80,42,79
2020-03-22,81,94,76,66,41,95
2020-03-29,85,63,41,50,49,100
2020-04-05,81,78,58,69,57,82
2020-04-12,91,74,54,44,69,66
2020-04-19,75,63,63,72,38,59
2020-04-26,83,62,47,72,100,58
2020-05-03,79,81,16,64,63,51
2020-05-10,75,80,58,85,72,51
2020-05-17,77,89,42,93,83,48
2020-05-24,55,79,44,68,26,40
2020-05-31,62,66,60,51,34,33
