date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,55,73,67,43,45,0
2019-07-21,60,75,26,54,24,0
2019-07-28,66,83,34,58,0,0
2019-08-04,58,91,25,48,45,0
2019-08-11,62,89,24,100,22,0
2019-08-18,76,75,53,82,0,0
2019-08-25,78,73,77,83,30,0
2019-09-01,75,85,59,58,20,0
2019-09-08,77,72,43,36,19,0
2019-09-15,62,78,97,53,0,0
2019-09-22,86,84,22,49,20,0
2019-09-29,72,87,57,61,59,0
2019-10-06,66,73,33,75,30,0
2019-10-13,68,81,59,63,40,0
2019-10-20,92,90,37,50,30,0
2019-10-27,93,90,54,57,20,0
2019-11-03,83,88,22,74,20,0
2019-11-10,92,82,63,40,48,0
2019-11-17,84,82,32,60,19,0
2019-11-24,75,73,68,34,0,0
2019-12-01,95,100,57,40,39,0
2019-12-08,77,71,51,41,20,0
2019-12-15,92,66,51,58,100,0
2019-12-22,44,65,33,47,22,0
2019-12-29,50,53,23,48,21,0
2020-01-05,86,87,35,36,29,0
2020-01-12,62,72,20,34,18,0
2020-01-19,72,81,41,35,56,0
2020-01-26,85,88,75,58,25,0
2020-02-02,73,84,34,55,28,0
2020-02-09,86,97,48,39,0,0
2020-02-16,94,95,41,54,25,1
2020-02-23,89,77,69,78,30,2
2020-03-01,100,84,33,38,18,5
2020-03-08,95,78,30,57,46,28
2020-03-15,64,71,80,38,36,84
2020-03-22,59,77,57,65,35,100
2020-03-29,82,65,31,42,25,95
2020-04-05,87,65,43,85,28,81
2020-04-12,90,61,46,56,32,65
2020-04-19,90,62,54,81,27,58
2020-04-26,81,62,55,55,22,59
2020-05-03,69,59,48,58,38,57
2020-05-10,73,75,43,45,17,53
2020-05-17,78,49,59,55,18,46
2020-05-24,65,67,27,57,0,44
2020-05-31,60,82,100,49,36,36
2020-06-07,53,69,53,49,27,38
2020-06-14,73,59,51,39,19,45
2020-06-21,54,76,77,80,19,68
2020-06-28,59,79,57,65,19,76
2020-07-05,42,96,57,71,0,83
