date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,60,82,61,52,34,0
2019-07-21,74,100,69,38,52,0
2019-07-28,69,83,55,50,68,0
2019-08-04,55,94,46,62,51,0
2019-08-11,70,93,59,43,66,0
2019-08-18,65,90,45,41,47,0
2019-08-25,76,86,44,60,31,0
2019-09-01,54,88,48,48,45,0
2019-09-08,72,87,74,41,44,0
2019-09-15,71,77,64,51,44,0
2019-09-22,72,96,65,74,40,0
2019-09-29,82,92,70,50,40,0
2019-10-06,65,86,24,53,27,0
2019-10-13,87,98,64,50,36,0
2019-10-20,82,100,83,47,0,0
2019-10-27,72,89,64,58,59,0
2019-11-03,93,86,46,56,43,0
2019-11-10,77,85,30,39,37,0
2019-11-17,77,92,46,63,43,0
2019-11-24,69,76,42,39,30,0
2019-12-01,79,70,35,39,28,0
2019-12-08,88,87,36,43,43,0
2019-12-15,79,76,77,50,29,0
2019-12-22,50,71,35,40,32,0
2019-12-29,59,79,43,43,88,0
2020-01-05,84,94,52,48,28,0
2020-01-12,93,91,62,67,26,0
2020-01-19,79,96,39,58,41,0
2020-01-26,75,96,97,100,40,0
2020-02-02,81,81,62,97,53,0
2020-02-09,75,81,29,60,54,0
2020-02-16,89,93,50,61,26,0
2020-02-23,90,89,61,50,42,2
2020-03-01,86,86,56,57,34,4
2020-03-08,89,77,51,59,61,28
2020-03-15,94,78,100,53,38,79
2020-03-22,100,89,48,48,65,99
2020-03-29,89,83,55,66,76,100
2020-04-05,69,88,49,52,41,83
2020-04-12,72,87,45,50,84,63
2020-04-19,80,80,58,89,23,56
2020-04-26,87,84,76,68,47,54
2020-05-03,83,85,42,58,55,52
2020-05-10,66,81,40,76,37,51
2020-05-17,62,89,72,60,25,46
2020-05-24,64,71,42,49,34,41
2020-05-31,64,70,56,68,60,35
2020-06-07,62,75,42,41,39,37
2020-06-14,62,85,53,45,40,43
2020-06-21,58,93,58,59,63,52
2020-06-28,61,76,95,44,37,60
2020-07-05,61,93,0,60,100,64
