date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,42,89,0,28,27,0
2019-06-09,52,84,48,73,56,0
2019-06-16,61,100,16,58,0,0
2019-06-23,52,71,47,57,28,0
2019-06-30,41,63,49,69,43,0
2019-07-07,100,73,15,74,54,0
2019-07-14,51,61,16,53,0,0
2019-07-21,73,88,49,84,0,0
2019-07-28,71,83,64,49,28,0
2019-08-04,53,70,32,67,42,0
2019-08-11,51,73,62,61,55,0
2019-08-18,63,75,45,82,0,0
2019-08-25,74,80,44,49,0,0
2019-09-01,62,87,73,83,25,0
2019-09-08,70,81,14,69,25,0
2019-09-15,64,96,56,56,37,0
2019-09-22,60,80,29,87,25,0
2019-09-29,76,98,100,73,50,0
2019-10-06,61,74,57,91,100,0
2019-10-13,74,86,28,64,25,0
2019-10-20,52,69,42,60,37,0
2019-10-27,60,66,28,69,37,0
2019-11-03,65,62,42,63,37,0
2019-11-10,52,68,41,54,24,0
2019-11-17,65,75,14,71,24,0
2019-11-24,49,66,0,30,0,0
2019-12-01,59,77,53,41,70,0
2019-12-08,57,64,41,41,36,0
2019-12-15,44,72,28,50,24,0
2019-12-22,48,67,76,73,26,0
2019-12-29,53,72,14,51,49,0
2020-01-05,57,83,13,53,0,0
2020-01-12,59,80,52,69,44,0
2020-01-19,55,75,41,89,23,0
2020-01-26,70,71,65,79,23,0
2020-02-02,72,68,65,51,23,0
2020-02-09,69,77,66,55,46,0
2020-02-16,63,82,13,70,67,0
2020-02-23,46,74,13,44,23,1
2020-03-01,72,80,87,42,44,4
2020-03-08,74,67,75,87,22,26
2020-03-15,79,74,25,53,66,81
2020-03-22,71,92,99,60,55,100
2020-03-29,73,99,86,78,75,96
2020-04-05,55,89,50,75,66,77
2020-04-12,54,85,12,61,52,55
2020-04-19,72,82,12,60,41,48
2020-04-26,69,64,12,82,82,45
2020-05-03,68,74,36,90,62,42
2020-05-10,57,77,24,77,32,41
2020-05-17,55,79,24,100,32,42
2020-05-24,40,74,38,53,88,33
2020-05-31,76,78,60,40,43,27
