date,depression,anxiety,panic attack,insomnia,loneliness,coronavirus
2019-07-14,68,82,72,58,36,0
2019-07-21,78,86,88,65,31,0
2019-07-28,63,85,57,56,16,0
2019-08-04,70,87,45,69,57,0
2019-08-11,73,86,63,99,31,0
2019-08-18,65,77,85,100,36,0
2019-08-25,65,84,66,81,15,0
2019-09-01,67,80,52,73,38,0
2019-09-08,67,94,73,74,18,0
2019-09-15,75,90,84,61,37,0
2019-09-22,79,87,64,71,47,0
2019-09-29,91,78,58,69,23,0
2019-10-06,89,79,53,65,55,0
2019-10-13,93,100,76,62,43,0
2019-10-20,92,98,71,89,33,0
2019-10-27,86,98,60,63,55,0
2019-11-03,100,86,77,59,60,0
2019-11-10,84,92,66,56,55,0
2019-11-17,93,90,76,62,50,0
2019-11-24,70,81,68,59,44,0
2019-12-01,86,80,69,78,50,0
2019-12-08,91,86,40,65,37,0
2019-12-15,90,76,52,55,52,0
2019-12-22,61,69,66,60,40,0
2019-12-29,78,85,77,73,23,0
2020-01-05,87,81,58,89,28,0
2020-01-12,90,95,55,67,13,0
2020-01-19,85,99,81,53,19,5
2020-01-26,84,92,62,52,27,15
2020-02-02,82,92,100,81,49,10
2020-02-09,98,89,71,67,74,6
2020-02-16,83,100,54,68,28,4
2020-02-23,99,87,50,67,77,19
2020-03-01,93,88,81,78,65,35
2020-03-08,84,94,79,57,73,90
2020-03-15,89,80,77,51,72,100
2020-03-22,81,78,77,73,79,75
2020-03-29,81,91,80,59,78,60
2020-04-05,90,89,75,66,100,60
2020-04-12,93,84,83,67,31,51
2020-04-19,88,96,80,60,48,41
2020-04-26,95,90,84,73,73,25
2020-05-03,91,76,57,90,51,22
2020-05-10,83,88,64,95,56,21
2020-05-17,76,75,65,90,49,18
2020-05-24,73,74,64,76,54,15
2020-05-31,59,70,78,46,24,12
2020-06-07,68,80,59,62,45,11
2020-06-14,70,79,93,74,43,11
2020-06-21,63,84,97,76,32,12
2020-06-28,61,93,67,77,18,13
2020-07-05,64,88,49,71,0,13
