date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-07,57,80,21,72,30,0
2019-07-14,66,87,96,73,61,0
2019-07-21,68,94,66,52,51,0
2019-07-28,73,80,53,100,82,0
2019-08-04,80,88,62,63,51,0
2019-08-11,64,75,44,71,0,0
2019-08-18,60,89,53,92,61,0
2019-08-25,68,96,65,93,40,0
2019-09-01,62,90,69,76,19,0
2019-09-08,74,87,36,62,65,0
2019-09-15,80,78,48,84,56,0
2019-09-22,81,87,44,68,28,0
2019-09-29,82,90,44,62,65,0
2019-10-06,100,89,45,78,74,0
2019-10-13,83,88,80,74,65,0
2019-10-20,84,89,79,87,73,0
2019-10-27,87,89,55,62,36,0
2019-11-03,89,76,39,74,54,0
2019-11-10,89,95,61,66,53,0
2019-11-17,93,89,58,88,81,0
2019-11-24,76,79,64,57,28,0
2019-12-01,79,81,49,57,26,0
2019-12-08,93,75,57,69,53,0
2019-12-15,80,87,51,55,45,0
2019-12-22,59,64,61,44,30,0
2019-12-29,71,80,80,78,19,0
2020-01-05,78,76,49,84,61,0
2020-01-12,82,88,52,68,77,0
2020-01-19,84,78,42,73,62,0
2020-01-26,88,90,61,73,17,0
2020-02-02,90,85,40,76,17,0
2020-02-09,92,92,81,92,68,0
2020-02-16,90,92,43,87,42,1
2020-02-23,97,84,75,73,55,3
2020-03-01,88,83,59,67,48,8
2020-03-08,88,83,72,64,24,33
2020-03-15,88,81,83,61,48,74
2020-03-22,96,91,63,55,100,92
2020-03-29,95,98,68,69,30,100
2020-04-05,87,91,62,83,68,86
2020-04-12,92,88,72,84,66,76
2020-04-19,82,78,62,82,43,69
2020-04-26,93,88,96,80,50,65
2020-05-03,99,86,75,91,51,60
2020-05-10,88,81,68,85,53,59
2020-05-17,82,88,61,74,60,59
2020-05-24,68,84,62,81,61,54
2020-05-31,67,81,76,67,29,42
2020-06-07,60,90,68,55,45,44
2020-06-14,74,92,73,72,31,48
2020-06-21,67,91,100,81,40,57
2020-06-28,59,77,53,72,49,68
2020-07-05,69,100,41,61,76,71
