date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-07,55,46,24,50,43,0
2019-07-14,73,95,25,61,0,0
2019-07-21,59,64,41,30,44,0
2019-07-28,33,68,33,20,0,0
2019-08-04,52,73,48,20,42,0
2019-08-11,51,76,32,29,41,0
2019-08-18,46,62,24,39,85,0
2019-08-25,42,57,50,100,0,0
2019-09-01,42,60,0,38,41,0
2019-09-08,58,100,23,19,41,0
2019-09-15,80,68,23,29,0,0
2019-09-22,77,64,23,28,0,0
2019-09-29,75,70,40,39,42,0
2019-10-06,56,79,24,19,0,0
2019-10-13,81,68,37,60,87,0
2019-10-20,71,71,24,39,42,0
2019-10-27,76,60,47,56,83,0
2019-11-03,62,71,47,0,42,0
2019-11-10,74,51,24,29,43,0
2019-11-17,52,83,36,49,42,0
2019-11-24,80,40,25,31,45,0
2019-12-01,78,63,48,58,0,0
2019-12-08,100,76,25,20,43,0
2019-12-15,61,66,25,61,0,0
2019-12-22,62,54,27,22,48,0
2019-12-29,42,58,50,71,88,0
2020-01-05,82,99,48,98,0,0
2020-01-12,75,63,31,56,81,0
2020-01-19,60,60,97,30,43,0
2020-01-26,79,89,31,29,41,0
2020-02-02,55,55,46,28,41,0
2020-02-09,93,54,47,38,41,0
2020-02-16,76,69,24,0,0,0
2020-02-23,60,83,100,18,59,3
2020-03-01,88,71,30,72,39,6
2020-03-08,70,82,37,54,0,35
2020-03-15,71,68,21,0,36,94
2020-03-22,56,60,60,40,58,97
2020-03-29,81,57,66,46,33,100
2020-04-05,69,55,33,32,52,82
2020-04-12,95,59,19,23,100,67
2020-04-19,60,79,40,64,35,61
2020-04-26,89,62,44,15,33,65
2020-05-03,77,45,0,38,0,57
2020-05-10,74,58,20,32,35,55
2020-05-17,56,48,28,59,0,55
2020-05-24,77,74,51,33,0,50
2020-05-31,54,47,29,16,35,45
2020-06-07,60,57,41,33,36,42
2020-06-14,46,68,64,52,0,42
2020-06-21,45,65,63,0,0,52
2020-06-28,62,61,47,33,36,62
2020-07-05,27,76,48,0,85,65
