date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,68,84,68,68,64,0
2019-07-21,72,83,73,59,50,0
2019-07-28,63,79,73,61,50,0
2019-08-04,68,79,45,67,72,0
2019-08-11,65,81,54,71,49,0
2019-08-18,62,72,74,65,39,0
2019-08-25,56,88,55,85,50,0
2019-09-01,67,83,76,100,35,0
2019-09-08,69,79,63,91,28,0
2019-09-15,72,75,85,82,35,0
2019-09-22,71,86,56,74,46,0
2019-09-29,82,84,75,85,64,0
2019-10-06,69,90,63,67,60,0
2019-10-13,100,86,68,81,47,0
2019-10-20,85,75,59,92,100,0
2019-10-27,86,83,54,71,76,0
2019-11-03,92,81,76,77,46,0
2019-11-10,90,89,70,68,60,0
2019-11-17,95,90,60,65,65,0
2019-11-24,71,78,54,56,45,0
2019-12-01,99,85,66,87,43,0
2019-12-08,93,83,69,95,54,0
2019-12-15,83,74,61,49,39,0
2019-12-22,55,71,54,74,39,0
2019-12-29,65,82,54,58,44,0
2020-01-05,87,89,38,76,39,0
2020-01-12,78,82,75,85,33,0
2020-01-19,95,77,77,69,56,0
2020-01-26,98,87,87,59,73,0
2020-02-02,90,79,66,75,50,0
2020-02-09,84,83,61,82,95,0
2020-02-16,87,96,56,87,28,0
2020-02-23,92,85,69,66,80,2
2020-03-01,89,83,43,54,66,4
2020-03-08,88,81,50,65,63,28
2020-03-15,84,72,89,69,45,75
2020-03-22,91,100,100,80,88,94
2020-03-29,76,86,97,60,71,100
2020-04-05,88,84,98,78,78,86
2020-04-12,84,68,75,77,84,67
2020-04-19,84,85,78,82,65,62
2020-04-26,86,76,64,77,62,54
2020-05-03,86,78,69,74,71,53
2020-05-10,72,82,55,85,29,49
2020-05-17,64,80,58,59,88,45
2020-05-24,67,77,60,68,40,40
2020-05-31,66,73,67,64,44,33
2020-06-07,68,74,50,71,45,34
2020-06-14,61,75,84,42,36,37
2020-06-21,64,79,72,65,51,49
2020-06-28,55,84,75,77,21,60
2020-07-05,82,87,78,49,0,57
