date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-07,55,81,80,66,45,0
2019-07-14,59,84,53,69,67,0
2019-07-21,60,88,66,65,47,0
2019-07-28,63,88,58,64,69,0
2019-08-04,49,84,71,94,46,0
2019-08-11,54,77,48,89,45,0
2019-08-18,52,85,48,69,22,0
2019-08-25,49,75,52,45,36,0
2019-09-01,55,87,85,68,21,0
2019-09-08,65,86,56,55,59,0
2019-09-15,65,75,48,100,20,0
2019-09-22,73,88,65,75,31,0
2019-09-29,77,82,43,42,50,0
2019-10-06,77,84,63,57,55,0
2019-10-13,81,93,55,75,63,0
2019-10-20,82,92,93,52,33,0
2019-10-27,80,86,69,66,65,0
2019-11-03,82,92,59,48,76,0
2019-11-10,69,80,68,50,32,0
2019-11-17,97,94,67,73,73,0
2019-11-24,54,72,54,61,48,0
2019-12-01,85,89,66,59,53,0
2019-12-08,77,92,64,91,45,0
2019-12-15,80,74,56,61,20,0
2019-12-22,48,77,57,79,40,0
2019-12-29,60,90,49,84,20,0
2020-01-05,69,83,62,70,40,0
2020-01-12,75,88,37,51,29,0
2020-01-19,70,89,62,99,29,0
2020-01-26,84,88,71,59,40,0
2020-02-02,85,88,62,68,30,0
2020-02-09,70,93,81,82,100,0
2020-02-16,81,100,48,77,40,0
2020-02-23,94,95,74,65,65,2
2020-03-01,89,83,63,53,57,5
2020-03-08,79,81,69,62,19,33
2020-03-15,77,83,70,57,37,94
2020-03-22,73,74,64,53,48,100
2020-03-29,81,81,78,63,40,92
2020-04-05,92,80,62,46,87,81
2020-04-12,100,76,47,80,83,64
2020-04-19,86,78,65,91,68,57
2020-04-26,79,91,66,76,35,59
2020-05-03,90,79,65,68,86,55
2020-05-10,85,72,66,82,75,55
2020-05-17,72,78,63,52,41,51
2020-05-24,68,64,100,51,37,40
2020-05-31,59,66,68,45,36,37
2020-06-07,61,80,84,57,25,38
2020-06-14,54,67,63,36,62,39
2020-06-21,61,71,84,55,46,47
2020-06-28,58,79,76,70,73,52
2020-07-05,64,88,87,81,61,56
