date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,60,81,48,53,38,0
2019-06-09,73,68,16,70,0,0
2019-06-16,57,76,0,54,39,0
2019-06-23,52,69,32,53,38,0
2019-06-30,48,44,17,39,40,0
2019-07-07,90,67,23,57,75,0
2019-07-14,56,90,16,69,0,0
2019-07-21,54,80,33,33,39,0
2019-07-28,71,62,25,44,39,0
2019-08-04,56,100,24,58,0,0
2019-08-11,71,82,46,47,37,0
2019-08-18,64,86,30,71,0,0
2019-08-25,98,90,44,29,0,0
2019-09-01,73,84,21,90,34,0
2019-09-08,69,73,14,74,0,0
2019-09-15,100,94,28,42,0,0
2019-09-22,71,92,21,57,34,0
2019-09-29,76,90,21,65,67,0
2019-10-06,94,75,21,52,34,0
2019-10-13,81,94,100,86,51,0
2019-10-20,78,70,61,36,29,0
2019-10-27,67,82,36,54,22,0
2019-11-03,88,83,29,50,0,0
2019-11-10,79,86,42,44,34,0
2019-11-17,66,77,30,40,100,0
2019-11-24,66,64,14,24,0,0
2019-12-01,77,89,26,70,32,0
2019-12-08,89,58,33,40,80,0
2019-12-15,42,74,0,60,33,0
2019-12-22,61,55,37,45,0,0
2019-12-29,57,73,28,33,0,0
2020-01-05,65,71,39,52,0,0
2020-01-12,54,85,30,57,0,0
2020-01-19,55,82,19,55,31,0
2020-01-26,47,80,38,42,0,0
2020-02-02,75,70,25,45,30,0
2020-02-09,65,82,19,42,30,0
2020-02-16,72,79,37,21,30,0
2020-02-23,70,60,25,54,30,1
2020-03-01,61,84,31,65,0,4
2020-03-08,70,70,27,35,0,23
2020-03-15,94,71,19,38,92,80
2020-03-22,89,62,24,36,57,92
2020-03-29,74,63,18,27,28,100
2020-04-05,66,82,12,52,29,87
2020-04-12,67,87,23,76,27,62
2020-04-19,70,79,22,60,27,56
2020-04-26,89,97,23,62,56,52
2020-05-03,58,75,35,66,70,50
2020-05-10,62,73,18,59,0,50
2020-05-17,57,71,12,100,0,46
2020-05-24,62,83,31,49,29,43
2020-05-31,52,67,36,20,57,38
