date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-07,77,78,35,30,0,0
2019-07-14,47,49,53,0,51,0
2019-07-21,48,76,36,31,0,0
2019-07-28,57,64,36,31,0,0
2019-08-04,66,68,70,78,0,0
2019-08-11,74,62,69,60,0,0
2019-08-18,53,53,35,71,99,0
2019-08-25,51,70,100,29,49,0
2019-09-01,53,75,33,43,47,0
2019-09-08,54,95,48,28,0,0
2019-09-15,54,75,32,28,0,0
2019-09-22,76,90,76,43,48,0
2019-09-29,81,63,43,85,0,0
2019-10-06,50,75,50,43,95,0
2019-10-13,79,86,34,50,0,0
2019-10-20,76,75,33,100,0,0
2019-10-27,56,70,33,57,48,0
2019-11-03,56,99,83,48,48,0
2019-11-10,96,61,66,47,95,0
2019-11-17,81,55,0,28,47,0
2019-11-24,63,66,51,29,49,0
2019-12-01,78,86,64,28,47,0
2019-12-08,86,70,33,29,0,0
2019-12-15,67,86,34,30,49,0
2019-12-22,79,81,0,32,0,0
2019-12-29,50,64,55,0,47,0
2020-01-05,40,72,32,28,46,0
2020-01-12,60,87,77,54,44,0
2020-01-19,79,67,32,83,46,0
2020-01-26,53,81,31,64,45,0
2020-02-02,66,95,51,54,44,0
2020-02-09,78,81,31,27,0,1
2020-02-16,52,77,31,45,44,1
2020-02-23,91,89,30,52,86,1
2020-03-01,72,87,45,0,0,5
2020-03-08,74,65,29,25,0,25
2020-03-15,87,51,29,25,82,65
2020-03-22,100,76,26,30,37,93
2020-03-29,65,61,25,33,54,100
2020-04-05,73,49,66,53,76,82
2020-04-12,79,51,50,44,36,62
2020-04-19,58,54,26,23,0,57
2020-04-26,94,66,79,46,0,47
2020-05-03,71,51,26,92,57,45
2020-05-10,60,94,27,35,0,44
2020-05-17,62,74,27,24,40,45
2020-05-24,50,67,29,26,42,38
2020-05-31,40,59,28,24,0,36
2020-06-07,47,70,28,37,41,36
2020-06-14,53,71,28,37,41,50
2020-06-21,66,95,29,38,0,58
2020-06-28,49,100,29,75,0,74
2020-07-05,37,84,0,0,100,74
