date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-07,64,98,42,60,45,0
2019-07-14,60,86,49,80,38,0
2019-07-21,68,92,58,43,66,0
2019-07-28,74,85,69,66,19,0
2019-08-04,67,93,40,67,55,0
2019-08-11,58,88,30,73,30,0
2019-08-18,68,97,59,100,52,0
2019-08-25,66,91,42,77,62,0
2019-09-01,64,82,49,69,53,0
2019-09-08,75,95,43,68,41,0
2019-09-15,81,93,47,75,53,0
2019-09-22,80,97,57,58,54,0
2019-09-29,78,96,35,74,49,0
2019-10-06,81,89,64,84,77,0
2019-10-13,81,86,53,67,71,0
2019-10-20,81,94,100,62,65,0
2019-10-27,92,93,62,68,49,0
2019-11-03,98,81,27,68,43,0
2019-11-10,89,90,36,63,79,0
2019-11-17,100,99,39,79,96,0
2019-11-24,67,84,52,54,36,0
2019-12-01,89,93,45,63,49,0
2019-12-08,79,83,37,65,48,0
2019-12-15,71,74,46,62,42,0
2019-12-22,54,72,31,47,56,0
2019-12-29,62,87,55,73,21,0
2020-01-05,73,95,44,56,28,0
2020-01-12,68,86,49,62,34,0
2020-01-19,73,87,39,75,58,0
2020-01-26,83,100,42,60,60,0
2020-02-02,85,89,51,58,30,0
2020-02-09,78,89,45,78,51,0
2020-02-16,78,80,59,61,80,0
2020-02-23,87,95,46,58,100,2
2020-03-01,92,88,58,76,63,6
2020-03-08,94,85,37,65,60,28
2020-03-15,100,75,55,47,45,78
2020-03-22,97,82,50,53,75,100
2020-03-29,92,86,56,64,70,98
2020-04-05,90,82,52,89,85,86
2020-04-12,93,80,62,73,65,69
2020-04-19,97,84,44,81,92,64
2020-04-26,95,83,42,85,57,58
2020-05-03,89,82,47,96,69,55
2020-05-10,86,85,29,71,52,56
2020-05-17,84,86,43,55,55,56
2020-05-24,71,91,33,78,66,50
2020-05-31,60,76,41,58,52,42
2020-06-07,62,86,39,62,57,48
2020-06-14,66,95,54,96,63,58
2020-06-21,63,95,53,83,45,74
2020-06-28,61,88,57,83,30,79
2020-07-05,71,91,44,89,35,80
