date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,37,30,0,24,0,0
2019-07-21,65,64,41,76,0,0
2019-07-28,58,44,0,41,0,0
2019-08-04,46,53,39,49,72,0
2019-08-11,39,46,37,31,69,0
2019-08-18,59,33,0,39,0,0
2019-08-25,65,65,0,43,0,0
2019-09-01,47,53,67,53,0,0
2019-09-08,41,65,64,50,0,0
2019-09-15,77,48,0,34,0,0
2019-09-22,63,59,100,31,0,0
2019-09-29,61,58,32,20,0,0
2019-10-06,65,58,32,20,60,0
2019-10-13,57,57,34,64,63,0
2019-10-20,88,100,0,52,62,0
2019-10-27,84,67,34,42,0,0
2019-11-03,87,52,33,31,62,0
2019-11-10,73,48,33,82,61,0
2019-11-17,80,55,33,41,61,0
2019-11-24,42,45,0,42,62,0
2019-12-01,99,47,48,30,0,0
2019-12-08,73,47,33,48,61,0
2019-12-15,60,34,34,49,0,0
2019-12-22,37,17,59,49,73,0
2019-12-29,73,51,0,29,0,0
2020-01-05,65,54,0,40,0,0
2020-01-12,55,58,31,57,57,0
2020-01-19,41,79,32,40,0,0
2020-01-26,70,32,48,30,59,0
2020-02-02,79,45,31,29,58,0
2020-02-09,87,67,63,46,58,0
2020-02-16,40,88,63,26,0,0
2020-02-23,64,58,30,38,0,1
2020-03-01,100,65,0,25,0,3
2020-03-08,95,74,30,38,0,20
2020-03-15,63,57,0,28,0,84
2020-03-22,80,53,28,44,52,100
2020-03-29,93,75,27,22,49,94
2020-04-05,71,60,0,34,50,80
2020-04-12,71,39,45,91,49,71
2020-04-19,74,54,0,45,100,59
2020-04-26,44,56,56,17,51,50
2020-05-03,97,57,0,25,0,47
2020-05-10,58,42,29,30,53,41
2020-05-17,63,45,0,78,0,44
2020-05-24,69,76,33,41,60,38
2020-05-31,65,41,31,0,57,29
2020-06-07,42,69,62,38,57,31
2020-06-14,51,39,32,30,0,28
2020-06-21,56,55,50,28,0,38
2020-06-28,73,50,52,72,64,43
2020-07-05,41,53,0,100,0,49
