date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,54,52,62,72,41,0
2019-07-21,50,79,32,70,0,0
2019-07-28,45,84,73,63,0,0
2019-08-04,55,90,64,99,42,0
2019-08-11,50,64,60,89,40,0
2019-08-18,63,65,56,25,37,0
2019-08-25,55,63,45,30,71,0
2019-09-01,60,48,53,24,35,0
2019-09-08,76,73,53,35,47,0
2019-09-15,66,68,26,61,35,0
2019-09-22,63,77,80,100,36,0
2019-09-29,65,74,53,35,35,0
2019-10-06,55,76,54,36,36,0
2019-10-13,93,69,55,36,55,0
2019-10-20,94,64,72,63,36,0
2019-10-27,86,52,27,71,36,0
2019-11-03,81,69,40,35,70,0
2019-11-10,87,98,52,57,0,0
2019-11-17,84,63,43,69,0,0
2019-11-24,51,65,89,35,0,0
2019-12-01,69,67,53,87,88,0
2019-12-08,91,70,27,24,0,0
2019-12-15,72,54,40,53,36,0
2019-12-22,65,43,45,40,40,0
2019-12-29,75,49,56,47,0,0
2020-01-05,54,76,44,47,71,0
2020-01-12,68,50,50,41,44,0
2020-01-19,60,65,76,39,34,0
2020-01-26,96,77,89,45,34,0
2020-02-02,74,99,92,58,34,0
2020-02-09,88,88,38,56,50,0
2020-02-16,98,73,50,50,100,1
2020-02-23,81,66,48,48,49,2
2020-03-01,100,83,37,59,0,6
2020-03-08,55,74,50,49,66,34
2020-03-15,74,56,73,32,33,80
2020-03-22,80,85,59,36,94,89
2020-03-29,83,61,47,23,62,100
2020-04-05,79,67,56,58,42,85
2020-04-12,92,71,57,65,30,67
2020-04-19,78,75,69,46,46,62
2020-04-26,82,48,62,51,93,62
2020-05-03,62,56,46,61,41,62
2020-05-10,82,59,71,68,63,57
2020-05-17,54,60,25,76,66,53
2020-05-24,69,71,58,50,33,47
2020-05-31,38,46,49,66,33,37
2020-06-07,56,49,34,28,68,38
2020-06-14,53,64,38,34,34,38
2020-06-21,63,63,53,35,36,46
2020-06-28,45,93,55,61,0,62
2020-07-05,54,100,100,70,0,61
