date,depression,anxiety,panic attack,insomnia,loneliness,coronavirus
2019-07-14,61,86,65,81,37,0
2019-07-21,58,83,49,60,28,0
2019-07-28,71,86,68,76,21,0
2019-08-04,69,86,73,90,32,0
2019-08-11,61,88,67,84,46,0
2019-08-18,63,90,54,70,37,0
2019-08-25,50,84,51,80,23,0
2019-09-01,59,81,51,88,39,0
2019-09-08,71,93,60,87,38,0
2019-09-15,69,90,58,69,39,0
2019-09-22,79,88,44,73,85,0
2019-09-29,76,83,74,50,55,0
2019-10-06,78,93,64,83,34,0
2019-10-13,91,87,60,65,30,0
2019-10-20,83,80,32,95,43,0
2019-10-27,90,91,37,87,38,0
2019-11-03,87,81,56,48,46,0
2019-11-10,84,93,51,51,62,0
2019-11-17,90,93,58,79,69,0
2019-11-24,74,76,55,68,56,0
2019-12-01,90,86,50,81,41,0
2019-12-08,94,87,39,69,59,0
2019-12-15,100,81,47,82,51,0
2019-12-22,55,61,43,64,28,0
2019-12-29,71,84,28,49,52,0
2020-01-05,87,91,69,88,33,0
2020-01-12,89,81,63,71,36,0
2020-01-19,76,95,39,92,50,4
2020-01-26,78,87,80,72,36,11
2020-02-02,86,82,54,71,24,8
2020-02-09,88,93,62,93,33,6
2020-02-16,85,95,62,82,45,4
2020-02-23,89,95,73,61,91,18
2020-03-01,87,87,53,72,67,39
2020-03-08,89,81,65,70,81,86
2020-03-15,95,79,72,45,42,100
2020-03-22,97,97,100,66,69,74
2020-03-29,94,100,83,94,100,59
2020-04-05,94,100,79,100,45,61
2020-04-12,88,89,64,79,55,50
2020-04-19,94,91,80,92,59,38
2020-04-26,92,93,74,92,55,22
2020-05-03,91,90,44,81,42,21
2020-05-10,90,85,65,73,47,18
2020-05-17,76,84,49,98,61,15
2020-05-24,69,82,59,77,53,13
2020-05-31,64,87,59,73,30,10
2020-06-07,71,85,60,75,38,10
2020-06-14,64,98,82,98,63,10
2020-06-21,67,91,57,78,36,11
2020-06-28,63,100,76,70,39,13
2020-07-05,60,97,95,66,59,12
