date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,59,69,41,15,0,0
2019-06-09,43,77,54,46,0,0
2019-06-16,57,56,27,15,30,0
2019-06-23,57,68,27,61,61,0
2019-06-30,33,48,28,31,0,0
2019-07-07,39,84,79,15,0,0
2019-07-14,63,99,68,77,30,0
2019-07-21,60,79,28,78,0,0
2019-07-28,55,73,68,31,0,0
2019-08-04,72,64,54,15,0,0
2019-08-11,55,75,53,60,0,0
2019-08-18,54,89,25,29,29,0
2019-08-25,52,71,25,28,56,0
2019-09-01,55,77,25,28,0,0
2019-09-08,60,74,0,55,0,0
2019-09-15,67,81,49,41,0,0
2019-09-22,59,79,100,42,27,0
2019-09-29,66,73,24,55,0,0
2019-10-06,81,39,25,0,0,0
2019-10-13,78,51,50,85,0,0
2019-10-20,55,64,25,28,28,0
2019-10-27,72,72,51,57,28,0
2019-11-03,68,86,25,42,28,0
2019-11-10,72,67,37,42,0,0
2019-11-17,63,59,49,42,27,0
2019-11-24,44,92,25,14,56,0
2019-12-01,73,81,37,55,27,0
2019-12-08,58,72,50,57,0,0
2019-12-15,53,76,38,29,0,0
2019-12-22,38,75,53,45,0,0
2019-12-29,36,56,25,71,28,0
2020-01-05,65,100,36,55,54,0
2020-01-12,57,81,92,92,0,0
2020-01-19,72,93,23,27,0,0
2020-01-26,57,77,23,91,51,0
2020-02-02,69,61,45,51,0,0
2020-02-09,74,62,0,39,0,0
2020-02-16,63,76,23,26,25,1
2020-02-23,77,89,45,76,100,2
2020-03-01,100,88,22,100,25,5
2020-03-08,55,72,21,49,48,26
2020-03-15,57,38,33,74,24,75
2020-03-22,71,75,43,48,0,100
2020-03-29,78,75,21,61,95,94
2020-04-05,66,61,32,36,0,86
2020-04-12,72,58,20,92,0,68
2020-04-19,62,42,61,57,22,61
2020-04-26,50,68,61,46,45,59
2020-05-03,63,72,21,23,0,53
2020-05-10,69,84,52,48,0,58
2020-05-17,46,68,43,85,24,50
2020-05-24,53,52,22,25,0,48
2020-05-31,48,52,52,12,0,39
