date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,64,96,46,48,0,0
2019-07-21,61,73,92,44,28,0
2019-07-28,58,82,67,47,27,0
2019-08-04,56,80,22,71,0,0
2019-08-11,56,81,65,52,26,0
2019-08-18,59,90,43,28,26,0
2019-08-25,62,70,28,60,38,0
2019-09-01,52,74,61,36,24,0
2019-09-08,68,77,100,35,36,0
2019-09-15,73,90,53,45,25,0
2019-09-22,62,77,30,36,49,0
2019-09-29,68,68,71,65,50,0
2019-10-06,64,80,61,62,25,0
2019-10-13,72,69,50,64,24,0
2019-10-20,75,75,68,79,74,0
2019-10-27,52,63,61,69,50,0
2019-11-03,74,60,60,55,97,0
2019-11-10,66,65,73,84,49,0
2019-11-17,69,80,70,45,24,0
2019-11-24,54,62,52,33,25,0
2019-12-01,73,66,58,44,0,0
2019-12-08,81,66,34,75,50,0
2019-12-15,54,75,28,54,0,0
2019-12-22,53,55,71,62,0,0
2019-12-29,54,58,27,62,25,0
2020-01-05,71,57,59,70,24,0
2020-01-12,70,73,38,83,23,0
2020-01-19,76,100,52,57,24,0
2020-01-26,84,75,64,50,47,0
2020-02-02,73,73,52,50,23,0
2020-02-09,67,87,71,31,35,0
2020-02-16,62,95,25,73,34,1
2020-02-23,86,69,55,33,67,3
2020-03-01,79,91,61,53,33,8
2020-03-08,76,77,45,32,88,29
2020-03-15,100,70,42,35,44,78
2020-03-22,82,80,60,43,33,91
2020-03-29,88,83,59,68,54,100
2020-04-05,75,73,54,55,33,94
2020-04-12,93,95,57,58,21,73
2020-04-19,72,85,69,77,42,69
2020-04-26,73,74,57,58,52,65
2020-05-03,67,77,51,53,31,60
2020-05-10,69,80,52,100,21,56
2020-05-17,76,63,53,57,21,55
2020-05-24,57,81,60,84,44,49
2020-05-31,47,66,35,36,52,37
2020-06-07,53,95,60,69,42,45
2020-06-14,66,94,70,51,21,55
2020-06-21,66,80,55,65,22,76
2020-06-28,51,91,87,42,23,100
2020-07-05,93,90,51,65,100,97
