date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,63,74,65,84,43,0
2019-06-09,67,80,66,66,44,0
2019-06-16,58,78,64,62,19,0
2019-06-23,53,75,71,65,17,0
2019-06-30,53,80,52,72,30,0
2019-07-07,60,76,57,74,47,0
2019-07-14,57,75,76,56,35,0
2019-07-21,56,76,59,71,27,0
2019-07-28,60,81,66,64,20,0
2019-08-04,57,84,55,64,36,0
2019-08-11,55,81,51,58,41,0
2019-08-18,55,83,60,79,21,0
2019-08-25,52,77,63,79,28,0
2019-09-01,54,86,58,67,26,0
2019-09-08,56,80,58,70,34,0
2019-09-15,59,78,36,75,65,0
2019-09-22,59,92,59,76,41,0
2019-09-29,64,87,71,72,29,0
2019-10-06,69,85,45,89,37,0
2019-10-13,74,83,74,73,62,0
2019-10-20,75,88,62,75,46,0
2019-10-27,72,94,57,78,44,0
2019-11-03,69,87,69,63,45,0
2019-11-10,68,86,58,73,60,0
2019-11-17,73,93,64,73,38,0
2019-11-24,65,74,47,65,33,0
2019-12-01,59,88,59,71,42,0
2019-12-08,69,85,45,71,49,0
2019-12-15,64,80,68,71,49,0
2019-12-22,49,72,58,65,33,0
2019-12-29,57,79,47,65,55,0
2020-01-05,61,87,58,85,52,0
2020-01-12,61,91,47,65,27,0
2020-01-19,62,88,87,83,28,0
2020-01-26,70,90,59,78,38,0
2020-02-02,64,83,56,85,47,0
2020-02-09,68,91,63,81,49,0
2020-02-16,63,87,54,77,50,1
2020-02-23,79,89,77,85,55,2
2020-03-01,75,90,64,72,50,9
2020-03-08,75,86,63,67,55,34
2020-03-15,91,87,78,56,52,77
2020-03-22,100,100,100,57,48,94
2020-03-29,93,97,98,74,61,100
2020-04-05,84,97,91,70,53,89
2020-04-12,88,91,71,76,61,76
2020-04-19,93,88,77,88,82,72
2020-04-26,87,88,67,87,100,65
2020-05-03,89,88,67,92,85,63
2020-05-10,83,92,78,93,48,65
2020-05-17,71,82,77,100,53,62
2020-05-24,64,80,60,82,63,52
2020-05-31,58,77,64,60,44,40
