date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-07,68,82,96,77,43,0
2019-07-14,65,87,59,68,32,0
2019-07-21,71,99,78,68,68,0
2019-07-28,64,79,93,70,35,0
2019-08-04,57,87,49,66,80,0
2019-08-11,64,86,89,65,50,0
2019-08-18,57,98,68,72,65,0
2019-08-25,63,95,69,83,25,0
2019-09-01,72,89,67,79,44,0
2019-09-08,89,87,92,75,64,0
2019-09-15,86,100,60,82,40,0
2019-09-22,83,94,65,72,55,0
2019-09-29,84,89,90,81,53,0
2019-10-06,79,91,69,60,95,0
2019-10-13,82,90,55,85,55,0
2019-10-20,82,94,73,80,65,0
2019-10-27,89,89,70,65,35,0
2019-11-03,87,91,80,49,62,0
2019-11-10,96,89,74,70,67,0
2019-11-17,100,94,73,82,72,0
2019-11-24,69,80,46,56,39,0
2019-12-01,97,94,98,68,42,0
2019-12-08,88,92,68,71,44,0
2019-12-15,73,83,69,60,49,0
2019-12-22,62,83,82,62,37,0
2019-12-29,71,90,63,74,52,0
2020-01-05,87,87,87,76,41,0
2020-01-12,87,93,82,86,34,0
2020-01-19,94,82,88,76,67,0
2020-01-26,95,89,75,74,31,0
2020-02-02,94,96,73,84,73,0
2020-02-09,99,92,89,100,56,0
2020-02-16,86,86,73,92,51,0
2020-02-23,87,95,80,72,100,2
2020-03-01,94,90,57,70,63,5
2020-03-08,85,89,63,65,37,34
2020-03-15,99,79,89,51,45,86
2020-03-22,83,92,97,74,67,100
2020-03-29,91,79,100,91,89,100
2020-04-05,79,85,83,77,80,84
2020-04-12,83,73,66,71,75,69
2020-04-19,86,89,56,93,80,64
2020-04-26,84,84,87,93,76,59
2020-05-03,83,80,78,86,62,56
2020-05-10,79,72,68,72,67,55
2020-05-17,75,91,75,72,73,50
2020-05-24,59,89,59,75,39,46
2020-05-31,59,71,51,76,38,37
2020-06-07,64,82,65,62,30,39
2020-06-14,61,79,67,79,75,47
2020-06-21,66,90,86,85,36,65
2020-06-28,61,95,97,64,19,78
2020-07-05,60,96,95,89,34,85
