date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-07,63,68,38,59,37,0
2019-07-14,70,70,62,84,25,0
2019-07-21,76,68,29,82,26,0
2019-07-28,52,79,25,82,0,0
2019-08-04,75,77,25,76,25,0
2019-08-11,66,100,59,54,24,0
2019-08-18,72,64,46,77,23,0
2019-08-25,68,80,53,96,23,0
2019-09-01,78,79,35,78,45,0
2019-09-08,77,72,59,73,29,0
2019-09-15,81,77,29,62,22,0
2019-09-22,69,66,52,100,30,0
2019-09-29,73,72,40,74,44,0
2019-10-06,59,64,45,75,23,0
2019-10-13,100,72,31,78,23,0
2019-10-20,95,66,39,68,22,0
2019-10-27,75,67,37,71,22,0
2019-11-03,88,67,39,43,22,0
2019-11-10,98,61,33,76,21,0
2019-11-17,94,75,52,59,28,0
2019-11-24,58,52,22,74,30,0
2019-12-01,77,68,28,65,57,0
2019-12-08,99,67,34,67,0,0
2019-12-15,87,49,20,60,22,0
2019-12-22,69,54,32,61,0,0
2019-12-29,64,55,30,78,45,0
2020-01-05,79,71,14,65,21,0
2020-01-12,63,64,45,51,50,0
2020-01-19,77,73,46,81,42,0
2020-01-26,89,79,46,63,41,0
2020-02-02,92,66,46,60,0,0
2020-02-09,86,80,41,82,41,0
2020-02-16,72,77,32,63,34,0
2020-02-23,96,74,44,63,20,1
2020-03-01,88,71,27,69,40,4
2020-03-08,95,66,53,32,20,20
2020-03-15,70,65,46,60,21,70
2020-03-22,84,59,39,69,0,100
2020-03-29,81,65,38,96,58,93
2020-04-05,86,66,44,87,37,75
2020-04-12,81,62,51,75,18,54
2020-04-19,85,67,41,70,46,47
2020-04-26,81,75,45,89,37,42
2020-05-03,79,68,54,77,38,39
2020-05-10,84,58,26,95,19,38
2020-05-17,68,76,32,86,0,37
2020-05-24,57,67,36,72,27,31
2020-05-31,53,61,40,56,27,28
2020-06-07,74,64,31,64,20,32
2020-06-14,78,62,68,60,41,48
2020-06-21,70,83,46,89,21,62
2020-06-28,76,86,71,56,21,68
2020-07-05,55,56,100,60,100,70
