date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,69,87,49,68,91,0
2019-07-21,66,96,44,69,77,0
2019-07-28,75,85,29,60,51,0
2019-08-04,72,78,34,62,60,0
2019-08-11,69,82,38,79,75,0
2019-08-18,63,79,53,59,30,0
2019-08-25,57,93,42,51,30,0
2019-09-01,63,86,51,57,39,0
2019-09-08,77,90,54,53,84,0
2019-09-15,77,84,31,60,28,0
2019-09-22,76,90,36,65,47,0
2019-09-29,90,95,59,54,100,0
2019-10-06,85,79,59,66,57,0
2019-10-13,74,100,40,60,37,0
2019-10-20,83,91,72,75,43,0
2019-10-27,80,81,46,79,58,0
2019-11-03,90,89,22,89,37,0
2019-11-10,79,90,66,52,55,0
2019-11-17,89,96,31,47,82,0
2019-11-24,62,79,70,66,69,0
2019-12-01,91,73,70,59,41,0
2019-12-08,87,83,36,54,57,0
2019-12-15,83,83,55,59,57,0
2019-12-22,75,61,35,57,63,0
2019-12-29,67,86,42,49,43,0
2020-01-05,75,89,26,70,68,0
2020-01-12,91,87,33,55,52,0
2020-01-19,90,100,32,100,54,0
2020-01-26,75,93,56,55,81,0
2020-02-02,73,91,51,60,95,0
2020-02-09,82,88,57,59,55,0
2020-02-16,95,96,43,53,54,1
2020-02-23,93,89,46,62,52,4
2020-03-01,98,96,49,63,51,12
2020-03-08,90,97,76,67,84,37
2020-03-15,91,78,100,56,75,89
2020-03-22,83,82,58,33,49,100
2020-03-29,85,81,30,58,55,89
2020-04-05,100,68,50,62,96,79
2020-04-12,92,67,52,60,78,61
2020-04-19,90,83,47,61,61,53
2020-04-26,86,76,54,66,79,52
2020-05-03,79,69,52,50,47,53
2020-05-10,88,77,59,62,54,50
2020-05-17,81,82,41,69,46,44
2020-05-24,75,85,57,47,72,42
2020-05-31,67,83,29,55,23,35
2020-06-07,86,75,65,55,34,41
2020-06-14,64,88,31,63,32,49
2020-06-21,62,92,56,45,25,55
2020-06-28,52,84,69,53,64,67
2020-07-05,66,94,47,79,71,66
