date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,67,88,74,85,42,0
2019-07-21,76,91,76,78,28,0
2019-07-28,71,98,65,75,42,0
2019-08-04,76,98,50,57,42,0
2019-08-11,74,85,62,77,41,0
2019-08-18,65,80,81,87,27,0
2019-08-25,75,81,52,93,32,0
2019-09-01,74,81,58,86,48,0
2019-09-08,81,86,42,80,18,0
2019-09-15,83,82,66,82,41,0
2019-09-22,81,87,53,90,80,0
2019-09-29,84,85,55,76,61,0
2019-10-06,87,85,52,78,61,0
2019-10-13,97,84,46,74,49,0
2019-10-20,95,86,66,78,47,0
2019-10-27,81,78,62,69,47,0
2019-11-03,95,79,54,78,18,0
2019-11-10,92,85,55,69,69,0
2019-11-17,100,91,63,71,65,0
2019-11-24,70,72,66,66,50,0
2019-12-01,95,88,62,71,29,0
2019-12-08,89,80,83,78,35,0
2019-12-15,86,77,75,68,47,0
2019-12-22,57,69,46,70,33,0
2019-12-29,75,78,72,80,42,0
2020-01-05,86,88,72,81,29,0
2020-01-12,84,82,59,69,39,0
2020-01-19,81,89,90,71,51,0
2020-01-26,87,89,100,66,23,0
2020-02-02,86,84,92,82,68,0
2020-02-09,85,80,58,95,57,0
2020-02-16,92,91,65,77,56,0
2020-02-23,95,100,73,65,44,2
2020-03-01,91,81,87,63,100,6
2020-03-08,83,74,71,72,79,32
2020-03-15,96,79,88,56,27,82
2020-03-22,85,85,78,62,80,100
2020-03-29,98,86,69,84,86,100
2020-04-05,92,78,99,75,41,88
2020-04-12,94,68,83,67,68,71
2020-04-19,100,75,88,100,48,68
2020-04-26,97,84,76,80,82,61
2020-05-03,90,85,79,88,83,59
2020-05-10,88,82,92,93,65,57
2020-05-17,85,82,80,79,71,55
2020-05-24,73,74,75,76,37,47
2020-05-31,63,78,67,54,41,38
2020-06-07,69,80,86,62,42,43
2020-06-14,66,83,71,72,33,45
2020-06-21,69,83,81,81,39,57
2020-06-28,68,79,95,64,34,77
2020-07-05,73,92,82,93,26,76
