date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,44,69,35,61,0,0
2019-06-09,33,72,36,72,28,0
2019-06-16,58,76,81,100,56,0
2019-06-23,38,92,36,62,28,0
2019-06-30,51,74,54,47,42,0
2019-07-07,61,82,70,79,55,0
2019-07-14,38,79,18,38,56,0
2019-07-21,51,83,46,68,86,0
2019-07-28,49,62,45,81,57,0
2019-08-04,48,77,63,57,42,0
2019-08-11,45,75,52,74,55,0
2019-08-18,59,67,60,78,54,0
2019-08-25,45,69,49,60,51,0
2019-09-01,41,46,48,68,50,0
2019-09-08,46,67,63,62,25,0
2019-09-15,48,63,71,63,37,0
2019-09-22,41,96,63,29,62,0
2019-09-29,61,81,86,62,25,0
2019-10-06,53,72,71,55,37,0
2019-10-13,73,74,63,58,99,0
2019-10-20,52,80,47,54,37,0
2019-10-27,66,80,71,59,25,0
2019-11-03,63,60,69,74,24,0
2019-11-10,69,70,37,56,0,0
2019-11-17,60,78,31,74,49,0
2019-11-24,46,65,65,34,0,0
2019-12-01,69,64,45,44,47,0
2019-12-08,56,70,39,66,73,0
2019-12-15,49,55,48,89,100,0
2019-12-22,43,63,52,41,28,0
2019-12-29,49,57,32,64,25,0
2020-01-05,40,64,83,72,36,0
2020-01-12,51,62,42,64,33,0
2020-01-19,59,81,30,88,59,0
2020-01-26,54,76,36,62,69,0
2020-02-02,60,54,100,83,22,0
2020-02-09,62,100,37,97,23,0
2020-02-16,68,56,78,79,33,0
2020-02-23,79,65,14,71,55,2
2020-03-01,74,80,35,66,22,6
2020-03-08,98,84,36,60,34,24
2020-03-15,67,56,56,52,44,77
2020-03-22,99,64,73,60,21,92
2020-03-29,79,65,46,77,21,100
2020-04-05,81,69,60,82,21,87
2020-04-12,89,61,79,53,62,66
2020-04-19,100,59,44,56,30,58
2020-04-26,70,66,72,59,41,56
2020-05-03,59,70,46,90,41,52
2020-05-10,63,66,80,71,21,53
2020-05-17,51,54,52,72,61,50
2020-05-24,39,54,59,88,21,46
2020-05-31,34,76,53,56,31,41
