date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,7,35,0,26,0,0
2019-06-09,36,26,0,52,0,0
2019-06-16,22,51,0,0,0,0
2019-06-23,14,59,40,26,0,0
2019-06-30,29,68,0,52,0,0
2019-07-07,28,83,39,100,0,0
2019-07-14,36,25,0,25,0,0
2019-07-21,15,60,41,0,0,0
2019-07-28,43,34,40,25,0,0
2019-08-04,35,75,40,0,0,0
2019-08-11,35,42,39,50,0,0
2019-08-18,34,56,38,0,0,0
2019-08-25,50,37,0,23,0,0
2019-09-01,32,29,35,45,0,0
2019-09-08,24,21,33,0,0,0
2019-09-15,55,50,34,22,0,0
2019-09-22,63,36,0,0,0,0
2019-09-29,62,44,52,22,0,0
2019-10-06,100,73,0,22,0,0
2019-10-13,69,45,0,0,0,0
2019-10-20,67,94,0,22,0,0
2019-10-27,31,89,35,0,0,0
2019-11-03,43,15,0,0,0,0
2019-11-10,54,36,0,21,0,0
2019-11-17,61,57,34,22,0,0
2019-11-24,19,37,0,0,53,0
2019-12-01,78,35,34,21,51,0
2019-12-08,56,45,35,0,0,0
2019-12-15,51,68,0,23,0,0
2019-12-22,43,33,0,0,0,0
2019-12-29,39,23,0,23,0,0
2020-01-05,74,100,34,22,0,0
2020-01-12,40,61,0,21,0,0
2020-01-19,66,77,34,0,51,0
2020-01-26,54,56,100,21,51,0
2020-02-02,41,41,66,63,0,0
2020-02-09,53,55,33,42,50,1
2020-02-16,35,76,33,21,100,0
2020-02-23,34,27,32,20,48,1
2020-03-01,40,73,48,61,0,3
2020-03-08,51,41,0,0,48,20
2020-03-15,51,13,0,61,0,62
2020-03-22,20,35,57,18,0,88
2020-03-29,30,65,56,36,0,98
2020-04-05,47,85,0,37,89,100
2020-04-12,30,41,42,35,42,68
2020-04-19,41,65,58,37,44,60
2020-04-26,37,49,0,37,44,51
2020-05-03,51,42,29,0,0,42
2020-05-10,48,68,59,38,0,44
2020-05-17,46,93,95,41,0,45
2020-05-24,41,28,33,0,0,48
2020-05-31,28,40,0,0,0,35
