date,depression,anxiety,panic attack,insomnia,loneliness,coronavirus
2019-07-14,80,87,68,58,21,0
2019-07-21,75,80,49,67,32,0
2019-07-28,63,85,67,74,32,0
2019-08-04,64,81,64,48,37,0
2019-08-11,72,72,39,66,25,0
2019-08-18,71,79,55,66,32,0
2019-08-25,74,80,63,66,18,0
2019-09-01,63,62,66,81,25,0
2019-09-08,77,73,62,67,38,0
2019-09-15,82,82,78,75,25,0
2019-09-22,77,84,67,74,38,0
2019-09-29,85,90,63,60,70,0
2019-10-06,93,86,61,58,59,0
2019-10-13,78,74,75,74,29,0
2019-10-20,94,92,76,60,41,0
2019-10-27,85,82,79,57,23,0
2019-11-03,95,89,45,76,27,0
2019-11-10,84,78,49,73,46,0
2019-11-17,100,100,57,59,34,0
2019-11-24,69,80,47,50,29,0
2019-12-01,97,85,53,99,24,0
2019-12-08,94,76,46,62,55,0
2019-12-15,71,83,64,48,55,0
2019-12-22,59,71,90,60,35,0
2019-12-29,68,71,93,81,36,0
2020-01-05,73,80,52,53,60,0
2020-01-12,88,78,37,61,32,0
2020-01-19,80,81,64,79,43,5
2020-01-26,83,90,44,74,35,9
2020-02-02,78,71,80,57,35,5
2020-02-09,95,70,69,78,24,4
2020-02-16,84,82,68,87,35,4
2020-02-23,81,87,70,58,34,14
2020-03-01,80,74,43,66,34,26
2020-03-08,81,70,81,64,63,66
2020-03-15,95,65,54,47,63,100
2020-03-22,99,69,69,61,73,77
2020-03-29,80,73,54,57,66,61
2020-04-05,90,71,96,84,100,57
2020-04-12,85,62,72,73,69,43
2020-04-19,76,68,66,75,26,34
2020-04-26,78,74,66,72,21,19
2020-05-03,78,66,76,76,53,16
2020-05-10,72,69,48,76,33,15
2020-05-17,65,69,47,93,38,12
2020-05-24,70,73,77,77,43,10
2020-05-31,70,82,51,61,55,8
2020-06-07,57,72,89,66,33,8
2020-06-14,58,80,70,62,34,8
2020-06-21,67,81,100,81,34,10
2020-06-28,64,68,51,46,44,12
2020-07-05,53,95,82,100,81,11
