date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,61,80,42,52,46,0
2019-06-09,58,85,52,60,33,0
2019-06-16,60,84,76,67,70,0
2019-06-23,63,90,73,64,53,0
2019-06-30,62,89,62,62,39,0
2019-07-07,72,90,60,72,44,0
2019-07-14,64,92,54,78,31,0
2019-07-21,64,99,73,66,21,0
2019-07-28,65,91,79,83,21,0
2019-08-04,59,88,64,60,48,0
2019-08-11,57,88,90,60,47,0
2019-08-18,56,92,100,100,26,0
2019-08-25,58,91,52,82,38,0
2019-09-01,69,93,44,73,42,0
2019-09-08,71,88,53,70,54,0
2019-09-15,95,90,61,72,38,0
2019-09-22,74,91,59,67,30,0
2019-09-29,75,87,66,70,64,0
2019-10-06,74,92,52,78,43,0
2019-10-13,77,97,59,65,48,0
2019-10-20,78,91,92,64,47,0
2019-10-27,76,86,67,59,64,0
2019-11-03,81,94,84,68,57,0
2019-11-10,84,89,47,96,54,0
2019-11-17,85,94,78,58,57,0
2019-11-24,58,78,60,54,42,0
2019-12-01,90,90,49,64,57,0
2019-12-08,92,87,84,61,37,0
2019-12-15,68,77,61,57,40,0
2019-12-22,51,73,62,53,66,0
2019-12-29,53,86,71,74,33,0
2020-01-05,60,88,60,59,57,0
2020-01-12,75,92,47,68,34,0
2020-01-19,70,92,59,83,48,0
2020-01-26,78,90,54,72,41,0
2020-02-02,80,87,54,71,43,0
2020-02-09,78,87,79,76,75,0
2020-02-16,82,100,74,57,60,1
2020-02-23,86,90,50,81,62,2
2020-03-01,84,94,81,69,75,6
2020-03-08,71,80,74,68,52,28
2020-03-15,91,79,88,83,79,78
2020-03-22,94,97,81,51,70,96
2020-03-29,100,94,93,69,55,100
2020-04-05,98,89,99,84,100,85
2020-04-12,96,84,53,79,77,66
2020-04-19,96,89,64,97,51,58
2020-04-26,89,86,51,60,75,56
2020-05-03,86,88,67,77,77,53
2020-05-10,83,86,68,82,73,52
2020-05-17,76,92,65,78,70,50
2020-05-24,62,94,61,88,55,44
2020-05-31,71,85,53,77,51,39
