date,depression,anxiety,panic attack,insomnia,loneliness,coronavirus
2019-07-14,70,81,53,75,50,0
2019-07-21,61,90,78,78,52,0
2019-07-28,67,74,15,75,25,0
2019-08-04,59,74,83,49,25,0
2019-08-11,49,73,60,53,37,0
2019-08-18,62,88,80,56,36,0
2019-08-25,84,82,27,49,23,0
2019-09-01,82,72,20,44,22,0
2019-09-08,75,77,39,62,0,0
2019-09-15,74,83,13,31,22,0
2019-09-22,75,84,20,60,68,0
2019-09-29,73,78,14,80,23,0
2019-10-06,73,83,34,28,68,0
2019-10-13,81,83,28,53,34,0
2019-10-20,90,77,21,69,57,0
2019-10-27,75,77,34,44,34,0
2019-11-03,85,83,47,43,33,0
2019-11-10,90,73,80,27,0,0
2019-11-17,70,78,20,35,66,0
2019-11-24,73,71,14,69,34,0
2019-12-01,81,75,13,70,44,0
2019-12-08,79,72,61,64,23,0
2019-12-15,65,88,49,58,47,0
2019-12-22,61,57,15,36,25,0
2019-12-29,72,76,14,41,31,0
2020-01-05,79,90,39,100,36,0
2020-01-12,95,73,44,56,21,0
2020-01-19,81,91,0,39,33,4
2020-01-26,83,85,76,49,21,14
2020-02-02,98,83,44,64,32,8
2020-02-09,85,89,32,73,65,7
2020-02-16,93,95,25,56,74,5
2020-02-23,98,89,67,58,54,19
2020-03-01,84,79,55,36,61,32
2020-03-08,100,90,36,59,39,81
2020-03-15,91,83,46,41,29,100
2020-03-22,80,100,49,49,37,81
2020-03-29,89,77,77,46,43,68
2020-04-05,83,79,46,58,38,66
2020-04-12,89,86,43,51,36,50
2020-04-19,86,83,38,71,37,39
2020-04-26,81,69,44,56,55,23
2020-05-03,90,80,34,37,37,19
2020-05-10,83,89,28,30,38,18
2020-05-17,86,78,35,48,87,15
2020-05-24,63,71,31,32,20,13
2020-05-31,64,75,17,44,38,12
2020-06-07,77,88,18,59,39,13
2020-06-14,46,72,43,25,30,12
2020-06-21,52,88,87,44,41,17
2020-06-28,59,90,100,37,52,15
2020-07-05,70,83,60,62,100,16
