date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,69,84,28,51,71,0
2019-06-09,69,85,95,38,27,0
2019-06-16,53,79,45,57,37,0
2019-06-23,62,79,69,63,48,0
2019-06-30,59,77,39,48,19,0
2019-07-07,64,78,22,92,92,0
2019-07-14,49,78,45,89,19,0
2019-07-21,72,84,76,47,47,0
2019-07-28,64,85,75,36,19,0
2019-08-04,55,93,53,72,75,0
2019-08-11,56,90,52,96,64,0
2019-08-18,61,100,86,79,71,0
2019-08-25,68,87,63,51,53,0
2019-09-01,63,95,55,66,68,0
2019-09-08,60,82,58,77,24,0
2019-09-15,72,87,59,57,25,0
2019-09-22,68,93,46,91,49,0
2019-09-29,80,100,33,69,66,0
2019-10-06,81,100,100,57,50,0
2019-10-13,84,89,40,64,76,0
2019-10-20,77,91,19,100,41,0
2019-10-27,81,85,20,66,33,0
2019-11-03,78,90,52,87,48,0
2019-11-10,80,89,71,62,32,0
2019-11-17,100,99,50,67,48,0
2019-11-24,59,75,54,45,59,0
2019-12-01,77,92,44,67,31,0
2019-12-08,80,78,59,72,49,0
2019-12-15,72,79,20,45,50,0
2019-12-22,55,74,23,52,58,0
2019-12-29,59,88,29,59,18,0
2020-01-05,69,85,26,63,49,0
2020-01-12,74,84,50,54,70,0
2020-01-19,71,87,65,75,33,0
2020-01-26,75,97,45,77,32,0
2020-02-02,85,87,64,70,32,0
2020-02-09,93,96,26,56,74,0
2020-02-16,92,74,26,68,72,1
2020-02-23,98,92,70,83,72,2
2020-03-01,83,89,44,76,64,7
2020-03-08,90,77,63,51,55,34
2020-03-15,91,76,60,55,82,78
2020-03-22,83,84,93,64,80,94
2020-03-29,76,91,58,64,57,100
2020-04-05,84,95,36,85,82,86
2020-04-12,81,79,58,94,50,70
2020-04-19,89,84,46,63,100,64
2020-04-26,87,87,17,63,71,62
2020-05-03,89,78,57,63,36,58
2020-05-10,72,83,48,83,74,60
2020-05-17,70,92,53,78,29,55
2020-05-24,69,75,59,77,67,52
2020-05-31,52,71,86,80,65,42
