date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-07,71,83,36,89,77,0
2019-07-14,70,90,39,60,32,0
2019-07-21,69,93,65,59,26,0
2019-07-28,75,89,55,59,37,0
2019-08-04,71,92,46,51,37,0
2019-08-11,69,94,52,90,42,0
2019-08-18,74,87,75,71,69,0
2019-08-25,53,88,57,67,46,0
2019-09-01,70,92,66,87,41,0
2019-09-08,76,86,73,78,39,0
2019-09-15,72,93,70,50,35,0
2019-09-22,72,93,55,64,59,0
2019-09-29,72,87,51,61,51,0
2019-10-06,95,90,62,71,26,0
2019-10-13,94,95,57,89,46,0
2019-10-20,99,96,70,47,52,0
2019-10-27,98,83,61,56,78,0
2019-11-03,94,83,28,60,61,0
2019-11-10,97,91,76,83,15,0
2019-11-17,93,100,57,50,63,0
2019-11-24,65,76,25,79,45,0
2019-12-01,90,96,86,95,38,0
2019-12-08,98,92,40,68,60,0
2019-12-15,90,78,53,60,35,0
2019-12-22,58,70,55,78,33,0
2019-12-29,73,77,54,93,20,0
2020-01-05,86,96,47,69,38,0
2020-01-12,76,89,52,80,53,0
2020-01-19,100,91,48,79,53,0
2020-01-26,86,83,59,86,43,0
2020-02-02,85,85,67,53,47,0
2020-02-09,80,93,68,75,76,0
2020-02-16,91,93,57,80,44,1
2020-02-23,93,97,85,88,96,5
2020-03-01,94,85,100,84,45,22
2020-03-08,90,87,55,66,31,46
2020-03-15,98,86,61,40,49,89
2020-03-22,84,89,62,73,43,100
2020-03-29,95,75,60,63,59,93
2020-04-05,86,83,68,100,75,81
2020-04-12,88,75,66,72,73,62
2020-04-19,86,82,64,77,58,57
2020-04-26,85,72,68,74,45,56
2020-05-03,99,81,44,57,46,53
2020-05-10,89,83,40,67,43,52
2020-05-17,97,79,52,96,34,49
2020-05-24,77,76,83,88,56,45
2020-05-31,69,78,53,64,24,37
2020-06-07,78,89,63,53,29,40
2020-06-14,81,82,56,68,43,44
2020-06-21,67,79,67,74,41,59
2020-06-28,67,90,40,57,27,67
2020-07-05,77,94,96,81,100,66
