date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,51,86,30,64,33,0
2019-07-21,62,97,100,74,52,0
2019-07-28,57,84,51,51,51,0
2019-08-04,62,90,91,61,40,0
2019-08-11,49,85,62,73,39,0
2019-08-18,61,84,87,88,38,0
2019-08-25,63,78,59,78,37,0
2019-09-01,54,91,61,92,55,0
2019-09-08,66,85,40,69,22,0
2019-09-15,75,88,58,61,30,0
2019-09-22,78,92,90,92,67,0
2019-09-29,69,97,55,72,38,0
2019-10-06,84,91,74,71,58,0
2019-10-13,87,96,64,100,46,0
2019-10-20,88,90,42,59,34,0
2019-10-27,89,91,79,68,46,0
2019-11-03,87,89,55,70,68,0
2019-11-10,100,83,58,65,59,0
2019-11-17,88,88,91,68,53,0
2019-11-24,47,88,65,53,46,0
2019-12-01,73,79,67,72,37,0
2019-12-08,73,87,45,80,22,0
2019-12-15,81,82,60,33,46,0
2019-12-22,53,72,51,58,38,0
2019-12-29,63,75,47,59,38,0
2020-01-05,69,97,71,68,55,0
2020-01-12,82,90,48,94,43,0
2020-01-19,62,99,76,89,34,0
2020-01-26,75,96,57,95,43,0
2020-02-02,90,98,96,73,22,0
2020-02-09,79,81,39,85,43,0
2020-02-16,79,92,64,72,64,0
2020-02-23,96,99,72,67,83,1
2020-03-01,74,100,59,46,52,4
2020-03-08,93,88,66,77,68,28
2020-03-15,90,77,77,47,100,85
2020-03-22,69,86,82,78,58,100
2020-03-29,85,83,72,69,76,90
2020-04-05,84,73,39,75,89,78
2020-04-12,77,75,52,73,43,63
2020-04-19,83,73,82,84,80,59
2020-04-26,88,94,80,73,76,52
2020-05-03,80,86,38,96,51,52
2020-05-10,96,86,67,83,45,54
2020-05-17,67,89,67,87,91,51
2020-05-24,63,79,53,57,41,45
2020-05-31,58,72,49,61,40,38
2020-06-07,54,80,37,80,34,38
2020-06-14,65,82,82,74,43,43
2020-06-21,47,86,73,72,21,53
2020-06-28,61,97,80,79,44,60
2020-07-05,56,79,64,86,79,63
