date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-06-02,25,69,54,32,98,0
2019-06-09,46,88,28,25,51,0
2019-06-16,45,50,27,49,49,0
2019-06-23,41,100,55,50,0,0
2019-06-30,41,78,28,42,50,0
2019-07-07,29,70,27,56,0,0
2019-07-14,46,70,0,49,100,0
2019-07-21,50,68,0,33,50,0
2019-07-28,40,65,54,41,0,0
2019-08-04,65,56,0,33,50,0
2019-08-11,34,75,27,48,48,0
2019-08-18,56,68,26,85,0,0
2019-08-25,51,77,100,30,46,0
2019-09-01,48,58,24,100,0,0
2019-09-08,39,64,35,57,43,0
2019-09-15,49,65,47,43,86,0
2019-09-22,35,73,95,50,0,0
2019-09-29,56,60,35,14,0,0
2019-10-06,70,61,24,57,0,0
2019-10-13,79,57,36,36,87,0
2019-10-20,51,57,46,42,63,0
2019-10-27,60,61,46,42,0,0
2019-11-03,80,52,57,48,0,0
2019-11-10,75,54,45,82,41,0
2019-11-17,83,52,23,48,0,0
2019-11-24,57,63,48,14,0,0
2019-12-01,68,69,66,52,0,0
2019-12-08,58,54,23,21,0,0
2019-12-15,64,43,35,14,42,0
2019-12-22,19,43,51,23,0,0
2019-12-29,51,67,57,21,42,0
2020-01-05,45,75,45,68,40,0
2020-01-12,54,85,32,13,0,0
2020-01-19,96,80,54,59,40,0
2020-01-26,70,76,63,51,57,0
2020-02-02,35,59,0,25,38,0
2020-02-09,55,66,43,90,0,0
2020-02-16,61,68,21,44,38,1
2020-02-23,100,82,30,31,37,1
2020-03-01,97,67,0,12,37,3
2020-03-08,65,57,31,44,76,29
2020-03-15,93,64,41,37,37,76
2020-03-22,60,48,19,36,35,100
2020-03-29,85,82,39,29,0,99
2020-04-05,72,57,29,53,35,89
2020-04-12,64,45,27,11,0,69
2020-04-19,88,60,37,44,0,56
2020-04-26,69,78,28,51,34,52
2020-05-03,55,81,28,46,0,50
2020-05-10,44,72,30,24,36,41
2020-05-17,59,58,30,24,36,43
2020-05-24,34,50,63,13,0,47
2020-05-31,41,59,20,19,0,30
