date,depression,anxiety,panic attack,insomnia,loneliness,coronavirus
2019-07-14,62,75,77,37,60,0
2019-07-21,83,48,52,37,61,0
2019-07-28,26,34,0,76,60,0
2019-08-04,55,53,0,37,0,0
2019-08-11,47,53,52,75,61,0
2019-08-18,37,41,0,75,0,0
2019-08-25,56,54,0,72,0,0
2019-09-01,49,39,0,35,57,0
2019-09-08,58,75,0,34,0,0
2019-09-15,73,48,47,0,0,0
2019-09-22,49,46,48,0,56,0
2019-09-29,55,53,49,71,58,0
2019-10-06,55,32,49,35,0,0
2019-10-13,76,62,50,71,0,0
2019-10-20,40,43,50,0,0,0
2019-10-27,40,32,0,35,57,0
2019-11-03,91,47,100,36,0,0
2019-11-10,40,46,0,35,0,0
2019-11-17,100,50,49,35,0,0
2019-11-24,35,57,49,35,0,0
2019-12-01,54,28,0,47,0,0
2019-12-08,76,44,0,72,59,0
2019-12-15,83,44,51,37,0,0
2019-12-22,42,39,0,39,0,0
2019-12-29,75,50,0,72,0,0
2020-01-05,60,46,74,47,58,0
2020-01-12,52,37,46,50,0,0
2020-01-19,44,53,0,35,57,3
2020-01-26,33,64,0,66,0,12
2020-02-02,72,36,0,32,53,5
2020-02-09,70,64,0,100,0,5
2020-02-16,100,58,0,32,0,4
2020-02-23,49,57,88,32,0,12
2020-03-01,62,72,0,32,100,22
2020-03-08,48,43,42,31,49,72
2020-03-15,64,37,0,31,0,100
2020-03-22,53,47,60,29,0,83
2020-03-29,83,28,59,56,91,71
2020-04-05,84,51,59,28,46,61
2020-04-12,72,40,0,27,0,46
2020-04-19,51,37,39,28,46,36
2020-04-26,52,43,59,0,46,23
2020-05-03,72,51,0,56,46,19
2020-05-10,66,44,40,44,48,16
2020-05-17,64,37,0,31,0,13
2020-05-24,49,38,66,47,0,12
2020-05-31,55,39,42,30,0,9
2020-06-07,48,37,43,94,51,9
2020-06-14,57,31,43,31,50,9
2020-06-21,57,38,0,32,51,11
2020-06-28,53,54,44,31,0,13
2020-07-05,73,100,0,74,0,11
